Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile,digital_relevant,unep_attributed,digital_practice_score,unep_attribution_score,improvement_type,action_stage,actor_type,evidence_level,digital_justification,unep_justification,evidence_phrases
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,ENERGY ACTION - Sustainable Development Goals,https://sdgs.un.org/sites/default/files/2021-06/2021-SDG7%20POLICY%20BRIEFS.pdf,The world has made significant progress toward SDG 7 in some areas. Yet efforts remain well below the scale required to meet the goal by 2030.,https://sdgs.un.org › sites › default › files,sdgs_un_org_ENERGY_ACTION_Sustainable_Development_Goals.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, including capacity and skills development, among countries and stakeholders in Kenya during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,INTERNATIONAL GUIDELINES FOR INDUSTRIAL PARKS,https://www.unido.org/sites/default/files/files/2019-11/International_Guidelines_for_Industrial_Parks.pdf,UNEP. (2001). Environmental Management for Industrial Estates: Information and Training Resources. United Nations Publication. 81. UNIDO. (2011). Industrial ...,https://www.unido.org › default › files › files › I...,www_unido_org_INTERNATIONAL_GUIDELINES_FOR_INDUSTRIAL_PARKS.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence related to improved data management, environmental data systems/platforms/workflows, environmentally sustainable AI practices, or capacity/skills development in data management or AI in Kenya during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to enabling, supporting, improving, training, implementing, or operationalizing SP7.1 outcomes in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Climate Cooperation and Competition: Leveraging ...,https://www.csis.org/analysis/climate-cooperation-and-competition-leveraging-sustainable-development-goal-13,"New technical assistance and implementation efforts will require U.S. government operational reform. Staffing, capacity, and resources of U.S. government ...",https://www.csis.org › analysis › climate-cooperation-an...,www_csis_org_Climate_Cooperation_and_Competition_Leveraging_.txt,False,False,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Kenya or the time window 2018-2022. It primarily focuses on climate change, SDG 13, and global development policies, without specific mention of digital/data management, sustainable AI practices, or capacity development in Kenya.","There is no explicit link between UNEP or UNEP-supported work and measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya (2018-2022).",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Sustainable Finance Synthesis Report,https://g20sfwg.org/wp-content/uploads/2021/06/G20_Sustainable_Finance_Synthesis_Report_2018.pdf,"Leveraging vast amounts of data, machine learning and AI fa- cilitate the development of environmental, social and economic rating methodologies ...",https://g20sfwg.org › uploads › 2021/06 › G20_S...,g20sfwg_org_Sustainable_Finance_Synthesis_Report.txt,False,False,0,0,none,none,unclear,unclear,,,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,2022 CATALOGUE OF SERVICES,https://unhabitat.org/sites/default/files/2022/06/un-habitat_2022_catalogue_of_services_digital-compressed.pdf,capacity development and technical assistance will be provided through this harmonized approach instead of the previously fragmented system. On the urban ...,https://unhabitat.org › default › files › 2022/06,unhabitat_org_2022_CATALOGUE_OF_SERVICES.txt,False,False,0,0,none,none,UN or international organization,institutional,"The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, capacity and skills development, or stakeholder capacity improvements related to data management, AI practices, digital tools, or environmental data platforms in Kenya during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.","[""The document does not contain relevant evidence for SP7.1 indicator.""]"
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Measuring the Impact of Conservation: The Growing ...,https://www.mdpi.com/1424-2818/14/10/824,"Governments need data to guide planning and to report on progress towards their global MEA commitments, such as the CBD, the United Nations Convention to Combat ...",https://www.mdpi.com › ...,www_mdpi_com_Measuring_the_Impact_of_Conservation_The_Growing_.txt,False,False,0,0,none,none,academic / research institution,global,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Kenya during 2018-2022.,"There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.","[""No relevant evidence found""]"
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Apolitical's 100 Most Influential Academics in Government,https://apolitical.co/lists/apoliticals-100-most-influential-academics-in-government,Academic research remains a vital source of information and innovation. This is why Apolitical invited public servants to nominate the academics who are the ...,https://apolitical.co › lists › apoliticals-100-most-influenti...,apolitical_co_Apolitical_s_100_Most_Influential_Academics_in_Gov.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence related to Kenya or the time window 2018-2022, nor does it discuss environmental data management, sustainable AI practices, or capacity and skills development in these areas.",There is no mention of UNEP or UNEP-supported work in the provided document.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Public Participation and Environmental Education,https://link.springer.com/chapter/10.1007/978-3-319-73250-3_22,"In this chapter, we discuss how environmental education and public participation interact with and are influenced by each other.",https://link.springer.com › chapter,link_springer_com_Public_Participation_and_Environmental_Education.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence related to Kenya or the time window 2018-2022. It discusses public participation and environmental education in riverine ecosystem management, but does not mention digital/data management, sustainable AI practices, or capacity/skills development in these areas.",There is no mention of UNEP or UNEP-supported work in the document.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Transformations to Achieve the Sustainable Development ...,https://pure.iiasa.ac.at/id/eprint/15347/1/TWI2050_Report081118-web-new.pdf,'Big Data' with 'Cloud Storage' has laid the foundations for the development of contemporary artificial intelligence (AI) based on Machine Learning (ML). It ...,https://pure.iiasa.ac.at › eprint › TWI2050_Report...,pure_iiasa_ac_at_Transformations_to_Achieve_the_Sustainable_Develop.txt,False,False,0,0,none,none,unclear,unclear,No relevant information found in the document.,No UNEP attribution found in the document.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,FROM POLLUTION TO SOLUTION,https://www.gdr-po.cnrs.fr/docs/UNEP_2021.pdf,United Nations Environment Programme (2021). From Pollution to. Solution. A global assessment of marine litter and plastic pollution Nairobi. Production. United ...,https://www.gdr-po.cnrs.fr › docs › UNEP_2021,www_gdr-po_cnrs_fr_FROM_POLLUTION_TO_SOLUTION.txt,False,False,0,0,none,none,unclear,unclear,"Document could not be retrieved, therefore no evidence could be assessed.","Document could not be retrieved, therefore no evidence could be assessed.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Planning for Sustainable Stakeholder Engagement Based ...,https://www.researchgate.net/publication/335831292_Planning_for_Sustainable_Stakeholder_Engagement_Based_on_the_Assessment_of_Conflicting_Interests_in_Projects,The goal of this paper is to provide a framework to enhance effectiveness of the stakeholder engagement in projects by systematically ranking the potential ...,https://www.researchgate.net › ... › Conflict of Interest,www_researchgate_net_Planning_for_Sustainable_Stakeholder_Engagement_Ba.txt,False,False,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Kenya or the time window 2018-2022, nor does it discuss improvements in data management, environmental data systems, or sustainable AI practices.",There is no explicit link to UNEP or UNEP-supported work in the provided document.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,compendium of data protection and privacy policies,https://unstats.un.org/legal-identity-agenda/documents/Paper/data_protecton_%20and_privacy.pdf,"• Support Member States' by providing technological and human capacity for health information systems, technical assistance with data collection processes ...",https://unstats.un.org › data_protecton_ and_privacy,unstats_un_org_compendium_of_data_protection_and_privacy_policies.txt,False,False,0,0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,World Trade Report 2020,https://www.wto.org/english/res_e/booksp_e/wtr20_e/wtr20_e.pdf,"The World Trade Report is an annual publication that aims to deepen understanding about trends in trade, trade policy issues and the multilateral trading system ...",https://www.wto.org › res_e › wtr20_e › wtr20_e,www_wto_org_World_Trade_Report_2020.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence of measured improvements in data management, environmentally sustainable AI practices, or capacity and skills development in Kenya during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,PG-Syllabi-Vol-02.pdf,https://icar.org.in/sites/default/files/inline-files/PG-Syllabi-Vol-02.pdf,The revised curricula of 79 disciplines has been designed with a view to improve the existing syllabus and to make it more contextual and pertinent to cater the ...,https://icar.org.in › default › files › inline-files › P...,icar_org_in_PG_Syllabi_Vol_02_pdf.txt,False,False,0,0,none,none,unclear,unclear,No relevant information found.,No UNEP attribution found.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Annual Report - 2021,https://unhabitat.org/sites/default/files/2022/05/2021_annual_report.pdf,"The role of UN-Habitat as a focal point on sustainable urbanization and human settlements including in the implementation, follow-up and review of the New Urban.",https://unhabitat.org › default › files › 2022/05,unhabitat_org_Annual_Report_2021.txt,False,False,0,0,none,none,unclear,unclear,The document text provided does not contain any relevant information about Kenya or digital/data management/sustainable AI practices.,There is no explicit link to UNEP or UNEP-supported work in the provided text.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Digital Economy Report 2021,https://unctad.org/system/files/official-document/der2021_en.pdf,"The ICT Policy Section promotes international dialogue on issues related to ICTs for development, and contributes to building developing countries' capacities ...",https://unctad.org › system › files › der2021_en,unctad_org_Digital_Economy_Report_2021.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence related to Kenya or the time window 2018-2022. It appears to be a general report on digital economy and data flows, not specifically focused on Kenya or UNEP's work in Kenya.",There is no explicit link to UNEP or UNEP-supported work in Kenya (2018-2022) in the document.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,United Nations Activities on Artificial Intelligence (AI) 2020,https://www.itu.int/dms_pub/itu-s/opb/gen/S-GEN-UNACT-2020-1-PDF-E.pdf,The 2020 edition of UN Activities on Artificial Intelligence (AI) takes a deep dive into the technologies behind the more than. 260 projects that are being ...,https://www.itu.int › dms_pub › itu-s › opb › gen,www_itu_int_United_Nations_Activities_on_Artificial_Intelligen.txt,False,False,0,0,none,none,unclear,unclear,No evidence found due to fetch error.,No evidence found due to fetch error.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Digital technologies as a means of repression and social control,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/653636/EXPO_STU(2021)653636_EN.pdf,"The proliferation of new and emerging technologies over the past two decades has significantly expanded states' toolkit for repression and social control, ...",https://www.europarl.europa.eu › etudes › STUD,www_europarl_europa_eu_Digital_technologies_as_a_means_of_repression_and_.txt,False,False,0,0,none,none,unclear,unclear,No relevant information found,No UNEP link found,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,YOUTH SOLUTIONS REPORT 2020,https://www.undp.org/sites/g/files/zskgke326/files/publications/UNDP-RBAP-SDSN-joint-report-Youth-Solutions-Report-2020.pdf,SDSN Youth is an initiative of the UN Sustainable Development Solutions Network; a program launched by UN Secretary-General in 2012 to mobilize global expertise ...,https://www.undp.org › files › files › publications,www_undp_org_YOUTH_SOLUTIONS_REPORT_2020.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence related to improved data management, environmental data systems/platforms/workflows, environmentally sustainable AI practices, or capacity and skills development in data management or AI for Kenya during 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and the SP7.1 improvement/capacity/sustainable AI outcome in Kenya during 2018-2022.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,PHILIPPINE JOURNAL OF PUBLIC ADMINISTRATION - NCPAG,https://ncpag.upd.edu.ph/wp-content/uploads/2019/05/pjpa2017.pdf,"The Philippine Journal of Public Administration is the official journal of the National. College of Public Administration and Governance, University of the ...",https://ncpag.upd.edu.ph › 2019/05 › pjpa2017,ncpag_upd_edu_ph_PHILIPPINE_JOURNAL_OF_PUBLIC_ADMINISTRATION_NCPAG.txt,False,False,0,0,none,none,none,none,"The document does not contain any information related to Kenya or improvements in data management, environmentally sustainable AI practices, or capacity and skills development in these areas during 2018-2022.",There is no mention of UNEP or UNEP-supported work in the document.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Digital technologies as a means of repression and social control,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/653636/EXPO_STU(2021)653636_EN.pdf,"The proliferation of new and emerging technologies over the past two decades has significantly expanded states' toolkit for repression and social control, ...",https://www.europarl.europa.eu › etudes › STUD,www_europarl_europa_eu_Digital_technologies_as_a_means_of_repression_and_.txt,False,False,0,0,none,none,unclear,unclear,No relevant information found.,No UNEP link found.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,LIVING PLANET REPORT 2020 - WWF,https://www.wwf.org.uk/sites/default/files/2020-09/LPR20_Full_report.pdf,"New ways to discover and extract this data are under development, including the automatic identification of relevant data sources using artificial intelligence.",https://www.wwf.org.uk › LPR20_Full_report,www_wwf_org_uk_LIVING_PLANET_REPORT_2020_WWF.txt,False,False,0,0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Development Co-operation Report 2020 (EN),https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/12/development-co-operation-report-2020_f095d2a7/f6d42aa5-en.pdf,The information in this document relates to the area under the effective control of the Government of the Republic of Cyprus. Please cite this publication as:.,https://www.oecd.org › oecd › reports › 2020/12,www_oecd_org_Development_Co_operation_Report_2020_EN_.txt,False,False,0,0,none,none,none,none,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Kenya during 2018-2022.,"There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Environment Protection Agency - EPA,https://www.facebook.com/EnvironmentProtectionAgencyLiberia/posts/representatives-from-governments-line-ministries-and-agencies-have-begun-a-three/275893673052420/,Representatives from Government's line Ministries and Agencies have begun a three-day inception workshop on Technology Needs Assessment (TNA) at the Environment ...,20+ reactions,www_facebook_com_Environment_Protection_Agency_EPA.txt,False,False,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Kenya or the time window 2018-2022. It appears to be about a workshop in Liberia, not Kenya.",There is no explicit link between UNEP and any improvement in data management or sustainable AI practices in Kenya.,[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Propelling LDCs in the Digital Age: A 4IR Perspective for ...,https://hub.unido.org/sites/default/files/publications/Publication_4IR_LDC.pdf,"This chapter provides actionable recommendations for LDCs which are aligned with. UNIDO's 4IR Strategic Framework, i.e., skills development and capacity ...",https://hub.unido.org › default › files › publications,hub_unido_org_Propelling_LDCs_in_the_Digital_Age_A_4IR_Perspecti.txt,False,False,0,0,none,none,unclear,unclear,The document does not provide explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Kenya during 2018-2022.,"There is no explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,Guidelines for the Monitoring and Assessment of Plastic ...,https://resolutions.unep.org/uploads/inf_4.pdf,"GESAMP is an advisory body consisting of specialized experts nominated by the Sponsoring Agencies. (IMO, FAO, UNESCO-IOC, UNIDO, WMO, IAEA, UN, UNEP, UNDP). Its ...",https://resolutions.unep.org › uploads › inf_4,resolutions_unep_org_Guidelines_for_the_Monitoring_and_Assessment_of_Pl.txt,False,False,0,0,none,none,none,none,"The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices, including capacity and skills development, among countries and stakeholders in Kenya during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP provided technical assistance Kenya environmental information system skills development data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,pidsepm2020-2021.pdf,https://pidswebs.pids.gov.ph/CDN/PUBLICATIONS/pidsepm2020-2021.pdf,"and artificial intelligence (AI) have sped up the development of testing, vaccines, and treatments to fight off the virus. However, even if the Philippines ...",https://pidswebs.pids.gov.ph › PUBLICATIONS,pidswebs_pids_gov_ph_pidsepm2020_2021_pdf.txt,False,False,0,0,none,none,none,none,"The document provided does not contain any information related to Kenya or the time window 2018-2022. It appears to be an economic policy monitor report for the Philippines, focusing on the macroeconomic prospects in 2021-2022.",,[]
