Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,finance_relevant,unep_attributed,attributable_relevant_doc,sd,finance_policy_score,unep_attribution_score,instrument_type,action_stage,actor_type,evidence_level,finance_justification,unep_justification,evidence_phrases
Brazil,2018-2022,https://gggi.org/wp-content/uploads/2020/10/20022_Jordan_Waste_v03_HL_Web.pdf,2018,2022,2020,WASTE SECTOR,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,gggi_org_WASTE_SECTOR.txt,False,False,False,,0,0,none,none,unclear,unclear,The document is not about Brazil or the time window 2018-2022. The document could not be retrieved.,The document is not about Brazil or the time window 2018-2022. The document could not be retrieved.,[]
Brazil,2018-2022,https://ghgprotocol.org/sites/default/files/standards/GPC_Full_MASTER_RW_v7.pdf,2018,2022,2020,Global Protocol for Community-Scale Greenhouse Gas ...,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,ghgprotocol_org_Global_Protocol_for_Community_Scale_Greenhouse_Gas.txt,False,False,False,,0,0,none,none,none,none,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, sustainable finance or green finance instruments, or standards or policy instruments that accelerate SCP/circularity/green economy approaches in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://globalabc.org/sites/default/files/2020-06/resource_efficiency_and_climate_change_summary_for_policymakers_final_march_26_2020%20%281%29.pdf,2018,2022,2020,RESOURCE EFFICIENCY AND CLIMATE CHANGE,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,globalabc_org_RESOURCE_EFFICIENCY_AND_CLIMATE_CHANGE.txt,False,False,False,,0,0,none,none,none,global,"The document does not contain explicit evidence related to Brazil during 2018-2022, nor does it discuss finance, economy, environment, business, or sustainability in the context of sustainable consumption and production, circular economy, green economy, sustainable public procurement, resource efficiency, life-cycle approaches, sustainable finance, or green finance instruments.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://hollandcircularhotspot.nl/wp-content/uploads/2019/09/Circular-Economy-Implementation-Programme-2019-2023.pdf,2018,2022,2020,Circular Economy Implementation Programme 2019-2023,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,hollandcircularhotspot_nl_Circular_Economy_Implementation_Programme_2019_202.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found,No UNEP link found,[]
Brazil,2018-2022,https://iea.blob.core.windows.net/assets/deebef5d-0c34-4539-9d0c-10b13d840027/NetZeroby2050-ARoadmapfortheGlobalEnergySector_CORR.pdf,2018,2022,2020,Net Zero by 2050 - A Roadmap for the Global Energy Sector,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,iea_blob_core_windows_net_Net_Zero_by_2050_A_Roadmap_for_the_Global_Energy_S.txt,False,False,False,,0,0,none,none,none,global,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, sustainable finance or green finance instruments, or standards or policy instruments that accelerate SCP/circularity/green economy approaches in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://journals.sagepub.com/doi/10.1177/0734242X211035926,2018,2022,2020,The nine development bands: A conceptual framework and ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,journals_sagepub_com_The_nine_development_bands_A_conceptual_framework_.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy, green economy, or sustainable finance policy instruments or standards in Brazil during 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and any policy instrument or standard in the document.,[]
Brazil,2018-2022,https://nicholasinstitute.duke.edu/sites/default/files/publications/20-Years-of-Government-Responses-to-the-Global-Plastic-Pollution-Problem_final_reduced.pdf,2018,2022,2020,20 Years of Government Responses to the Global Plastic ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,nicholasinstitute_duke_edu_20_Years_of_Government_Responses_to_the_Global_Pla.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found.,No UNEP attribution found.,[]
Brazil,2018-2022,https://one.oecd.org/document/ENV/EPOC/WPEP(2021)6/FINAL/en/pdf,2018,2022,2020,env/epoc/wpep(2021)6/final,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,one_oecd_org_env_epoc_wpep_2021_6_final.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document is not accessible due to a 403 error, and therefore no evidence can be evaluated.","The document is not accessible due to a 403 error, and therefore no evidence can be evaluated.",[]
Brazil,2018-2022,https://openknowledge.worldbank.org/bitstreams/d0529388-cd9b-5cbb-ba9b-0c39f20ffeb4/download,2018,2022,2020,water in circular economyand resilience (wicer),UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,openknowledge_worldbank_org_water_in_circular_economyand_resilience_wicer_.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found about Brazil or 2018-2022.,No UNEP attribution found.,[]
Brazil,2018-2022,https://orbit.dtu.dk/files/170843838/GCOII_synth.pdf,2018,2022,2020,UN Environment Global Chemicals Outlook II,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,orbit_dtu_dk_UN_Environment_Global_Chemicals_Outlook_II.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy, green economy, or related policy instruments and standards for Brazil in 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and any policy instrument or standard mentioned in the document for Brazil in 2018-2022.,[]
Brazil,2018-2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC7505605/,2018,2022,2020,A critical analysis of the impacts of COVID-19 on the global ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,pmc_ncbi_nlm_nih_gov_A_critical_analysis_of_the_impacts_of_COVID_19_on_.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document does not contain any relevant information about sustainable finance, green economy, or sustainable consumption and production policies in Brazil from 2018-2022.",There is no mention of UNEP or any UNEP-supported work in the document.,[]
Brazil,2018-2022,https://relondon.gov.uk/wp-content/uploads/2021/09/Circular-cities-in-action_Driving-progress-through-policy_FINAL.pdf,2018,2022,2020,Circular cities in action: Driving progress through policy,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,relondon_gov_uk_Circular_cities_in_action_Driving_progress_through.txt,False,False,False,,0,0,none,none,none,none,The document does not contain explicit evidence related to Brazil or the time window 2018–2022. It primarily focuses on London's circular economy policies and strategies.,There is no mention of UNEP or UNEP-supported work in the document.,[]
Brazil,2018-2022,https://repositorio.cepal.org/server/api/core/bitstreams/3bcba318-6f24-452a-9544-7244969ae75b/content,2018,2022,2020,Green jobs in Argentina: opportunities to move forward with ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,repositorio_cepal_org_Green_jobs_in_Argentina_opportunities_to_move_forw.txt,False,False,False,,0,0,none,none,unclear,unclear,No evidence found due to document fetch error,No evidence found due to document fetch error,[]
Brazil,2018-2022,https://tii.unido.org/sites/default/files/publications/QI_SDG_PUBLICATION_Dec2019.pdf,2018,2022,2020,Rebooting Quality Infrastructure for a Sustainable Future,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,tii_unido_org_Rebooting_Quality_Infrastructure_for_a_Sustainable.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, sustainable finance or green finance instruments, or standards or policy instruments that accelerate SCP/circularity/green economy approaches in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported entities and any SP6.1 policy instrument, standard, or action in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://unepccc.org/wp-content/uploads/2019/04/msme-adaptation-updated-web-2.pdf,2018,2022,2020,Private-sector action in adaptation: Perspectives on the ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,unepccc_org_Private_sector_action_in_adaptation_Perspectives_o.txt,False,False,False,,0,0,none,none,none,none,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or green economy approaches, or policy instruments and standards that accelerate the shift towards SCP, circularity, or green economy approaches in Brazil during 2018-2022.","The document does not explicitly link UNEP or UNEP-supported work to enabling, supporting, developing, adopting, revising, implementing, or taking action on policy instruments or standards related to SCP, circularity, or green economy approaches in Brazil during 2018-2022.","[""No relevant evidence found.""]"
Brazil,2018-2022,https://unesdoc.unesco.org/ark:/48223/pf0000247444,2018,2022,2020,Education for Sustainable Development Goals: learning ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,unesdoc_unesco_org_Education_for_Sustainable_Development_Goals_learni.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document does not contain any information related to sustainable consumption and production, circular economy, green economy, or sustainable finance policies or standards in Brazil from 2018-2022.",There is no mention of UNEP or UNEP-supported work in the provided document.,[]
Brazil,2018-2022,https://unfccc.int/sites/default/files/resource/Informal%20Compilation%20Regional%20Workshops.pdf,2018,2022,2020,Informal Compilation Regional Workshops. ...,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,unfccc_int_Informal_Compilation_Regional_Workshops_.txt,False,False,False,,0,0,none,none,none,national,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, or sustainable finance instruments in Brazil during 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and the policy instruments or standards mentioned in the document.,"[""The document discusses gender integration into national climate actions and policies, but does not mention SCP, circularity, green economy, or related policy instruments.""]"
Brazil,2018-2022,https://unfccc.int/sites/default/files/resource/engaging-private-sector-toolkit-V5.pdf,2018,2022,2020,Toolkit for Engaging the Private Sector in National ...,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,unfccc_int_Toolkit_for_Engaging_the_Private_Sector_in_Nationa.txt,False,False,False,,0,0,none,none,unclear,unclear,No evidence found due to document fetch error.,No evidence found due to document fetch error.,[]
Brazil,2018-2022,https://www.bsp.gov.ph/Regulations/Issuances/2022/CL-2022-011.pdf,2018,2022,2020,Philippine Sustainable Finance Roadmap,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_bsp_gov_ph_Philippine_Sustainable_Finance_Roadmap.txt,False,False,False,,0,0,none,none,none,none,The document does not relate to Brazil or the time window 2018-2022. It is about the Philippine Sustainable Finance Roadmap.,,[]
Brazil,2018-2022,https://www.cebri.org/media/documentos/arquivos/Relatorio_A4_EN_6jul-compactad.pdf,2018,2022,2020,BRAZIL AND CHINA,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_cebri_org_BRAZIL_AND_CHINA.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found,No UNEP attribution found,[]
Brazil,2018-2022,https://www.chathamhouse.org/sites/default/files/publications/research/2019-05-22-Circular%20Economy.pdf,2018,2022,2020,An Inclusive Circular Economy,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_chathamhouse_org_An_Inclusive_Circular_Economy.txt,False,False,False,,0,0,none,none,none,global,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022, and does not discuss finance, economy, environment, business, or sustainability in the context of SCP, circularity, or green economy approaches.","The document does not explicitly link UNEP or UNEP-supported work to enabling, supporting, developing, adopting, revising, implementing, or taking action on SCP, circularity, or green economy approaches.",[]
Brazil,2018-2022,https://www.climate-transparency.org/wp-content/uploads/2021/10/CT2021Brazil.pdf,2018,2022,2020,BRAZIL,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_climate-transparency_org_BRAZIL.txt,False,False,False,,0,0,none,none,unclear,national,"The document does not contain explicit evidence of adopted or implemented policy instruments or standards for sustainable consumption and production (SCP), circularity, or green economy approaches in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.climateworks.org/wp-content/uploads/2019/09/Green-Public-Procurement-Final-28Aug2019.pdf,2018,2022,2020,THE ROLE OF GREEN PUBLIC PROCUREMENT,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_climateworks_org_THE_ROLE_OF_GREEN_PUBLIC_PROCUREMENT.txt,False,False,False,,0,0,none,none,none,none,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, or sustainable finance instruments in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.elibrary.imf.org/view/journals/001/2019/185/article-A001-en.xml,2018,2022,2020,Macroeconomic and Financial Policies for Climate Change ...,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_elibrary_imf_org_Macroeconomic_and_Financial_Policies_for_Climate_C.txt,False,False,False,,0,0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Brazil,2018-2022,https://www.facebook.com/emauthority/posts/priority-4-nep-u-our-country-our-responsibility-evolving-a-greener-economy-in-ac/10157261026494885/,2018,2022,2020,"Priority 4 – NEP & U. Our Country, Our Responsibility. ...",UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_facebook_com_Priority_4_NEP_U_Our_Country_Our_Responsibility_.txt,False,False,False,,0,0,none,none,unclear,unclear,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy, green economy, or sustainable finance policies or standards in Brazil for the period 2018-2022.",There is no explicit link between UNEP or UNEP-supported work and any policy instrument or standard in the document.,[]
Brazil,2018-2022,https://www.freshfields.com/globalassets/our-thinking/campaigns/a-legal-framework-for-impact/a-legal-framework-for-impact.pdf,2018,2022,2020,A LEGAL FRAMEWORK FOR IMPACT,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_freshfields_com_A_LEGAL_FRAMEWORK_FOR_IMPACT.txt,False,False,False,,0,0,none,none,none,none,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, or sustainable finance instruments that accelerate SCP/circularity/green economy approaches in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and the adoption, development, revision, implementation, or action on policy instruments or standards in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.frontiersin.org/journals/forests-and-global-change/articles/10.3389/ffgc.2021.631756/full,2018,2022,2020,Public Forests Under Threat in the Brazilian Amazon,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_frontiersin_org_Public_Forests_Under_Threat_in_the_Brazilian_Amazo.txt,False,False,False,,0,0,none,none,government,national,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or green economy approaches, sustainable public procurement, resource efficiency or life-cycle approaches, or sustainable finance instruments.",There is no explicit link between UNEP or UNEP-supported work and the policy instruments or standards discussed in the document.,"[""Brazil has a robust environmental legal framework"", ""changes in the legal framework and dismantling of successful socio-environmental policies threaten public forests in the Amazon""]"
Brazil,2018-2022,https://www.giz.de/en/downloads/the-green-finance-market-emerging-in-brazil-oct-2020-final.pdf,2018,2022,2020,THE GREEN FINANCE MARKET EMERGING IN BRAZIL,UNEP assisted Brazil circular economy strategy updated policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_giz_de_THE_GREEN_FINANCE_MARKET_EMERGING_IN_BRAZIL.txt,True,False,False,,80,0,green bond / green finance policy,developed / implemented,government / public-sector institution / private-sector institution,national,"The document provides clear evidence of the Brazilian government's efforts to develop and implement green finance policies and instruments, such as green bonds, debentures, and investment funds. The Central Bank of Brazil has launched a sustainability agenda, and several financial institutions have issued green bonds and developed sustainable investment products.","There is no explicit mention of UNEP or UNEP-supported work in the document. While the document references international initiatives and organizations, such as the Paris Agreement and the Network for Greening the Financial System (NGFS), there is no direct link to UNEP.","[""The Brazilian government participates in 14 important international green finance and sustainable development initiatives."", ""The Central Bank of Brazil has been a member of the Sustainable Banking Network (SBN) since 2012."", ""The Brazilian Securities and Exchange Commission (CVM) is a member of the International Organization of Securities Commissions’ (IOSCO) Working Group on Sustainability in Emerging Markets."", ""In 2019, 14 green bonds and one social bond were issued in the domestic market, totaling nearly BRL 4.8 billion."", ""The Central Bank of Brazil officially launched its ambitious sustainability agenda recognizing that climate risks were a serious threat to the financial stability of the country.""]"
Brazil,2018-2022,https://www.gov.br/mma/pt-br/assuntos/mudanca-do-clima/clima/repositorio/final-report_en_web.pdf,2018,2022,2020,MINISTRY OF THE ENVIRONMENT - GOV.BR,supported by UNEP Brazil resource efficiency policy launched policy instrument standard strategy regulation framework action plan government institution private sector public sector after:2018-01-01 before:2022-01-01,www_gov_br_MINISTRY_OF_THE_ENVIRONMENT_GOV_BR.txt,False,False,False,,0,0,none,none,government,national,"The document does not contain explicit evidence related to sustainable consumption and production, circular economy or circularity, green economy or green growth, sustainable public procurement, resource efficiency or life-cycle approaches, or sustainable finance or green finance instruments.",There is no explicit link between UNEP or UNEP-supported work and the policy instrument or standard in Brazil (2018-2022).,"[""The document is a report on the monitoring and assessment of the National Adaptation Plan (NAP) of Brazil, which focuses on climate change adaptation and does not explicitly discuss SCP, circularity, or green economy approaches.""]"
