Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,digital_relevant,unep_attributed,attributable_relevant_doc,sd,digital_practice_score,unep_attribution_score,improvement_type,action_stage,actor_type,evidence_level,digital_justification,unep_justification,evidence_phrases
Brazil,2018-2022,https://www.ngfs.net/sites/default/files/medias/documents/case_studies_of_environmental_risk_analysis_methodologies.pdf,2018,2022,2020,Case Studies of Environmental Risk Analysis Methodologies,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_ngfs_net_Case_Studies_of_Environmental_Risk_Analysis_Method.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,The document does not contain explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil during 2018-2022.,The document does not explicitly link UNEP or UNEP-supported work to any measured improvements in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/12/anticipatory-innovation-governance_d1aded4e/cce14d80-en.pdf,2018,2022,2020,Anticipatory Innovation Governance,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_oecd_org_Anticipatory_Innovation_Governance.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No evidence found due to document fetch error,No evidence found due to document fetch error,[]
Brazil,2018-2022,https://www.onecaribbean.org/wp-content/uploads/2020-CSTPF-Final-for-Design-and-Translation-July-31-2020.pdf,2018,2022,2020,CARIBBEAN SUSTAINABLE TOURISM POLICY AND ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_onecaribbean_org_CARIBBEAN_SUSTAINABLE_TOURISM_POLICY_AND_.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found due to document retrieval failure.,No relevant information found due to document retrieval failure.,[]
Brazil,2018-2022,https://www.pwc.com/gx/en/sustainability/assets/ai-for-the-earth-jan-2018.pdf,2018,2022,2020,Fourth Industrial Revolution for the Earth,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_pwc_com_Fourth_Industrial_Revolution_for_the_Earth.txt,False,False,False,,0.0,0.0,none,none,unclear,global,"The document does not contain explicit evidence of measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.researchgate.net/publication/342572100_The_globalization_of_artificial_intelligence_consequences_for_the_politics_of_environmentalism,2018,2022,2020,consequences for the politics of environmentalism,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_researchgate_net_consequences_for_the_politics_of_environmentalism.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022, nor does it discuss improvements in data management, environmental data systems, or sustainable AI practices.",There is no mention of UNEP or UNEP-supported work in the document.,[]
Brazil,2018-2022,https://www.researchgate.net/publication/344075411_Is_artificial_intelligence_greening_global_supply_chains_Exposing_the_political_economy_of_environmental_costs,2018,2022,2020,Is artificial intelligence greening global supply chains? ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_researchgate_net_Is_artificial_intelligence_greening_global_supply_.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,"The document does not contain explicit evidence related to Brazil or the time window 2018-2022, nor does it discuss improvements in data management, environmental data systems/platforms/workflows, environmentally sustainable AI practices, or capacity/skills development in these areas.",There is no explicit link between UNEP or UNEP-supported work and any improvements or capacity development in data management or sustainable AI practices.,[]
Brazil,2018-2022,https://www.santander.com/content/dam/santander-com/en/documentos/informe-anual/2020/ia-2020-annual-report-en.pdf,2018,2022,2020,2020 Annual report | Banco Santander,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_santander_com_2020_Annual_report_Banco_Santander.txt,False,False,False,,0.0,0.0,none,none,bank / financial institution,institutional,"The document does not contain explicit evidence of measured improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.","There is no explicit link between UNEP or UNEP-supported work and improvements in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.sciencedirect.com/science/article/pii/S2666683921000754,2018,2022,2020,The need for data integration to address the challenges of ...,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_sciencedirect_com_The_need_for_data_integration_to_address_the_chall.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No relevant information found,No relevant information found,[]
Brazil,2018-2022,https://www.tandfonline.com/doi/full/10.1080/14480220.2019.1639276,2018,2022,2020,Emerging environmental industries: impact on required ...,UNEP supported Brazil environmental data governance launched data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_tandfonline_com_Emerging_environmental_industries_impact_on_requir.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No explicit evidence of measured improvements in data management and environmentally sustainable artificial intelligence practices in Brazil from 2018-2022.,"No explicit link between UNEP or UNEP-supported work and the measured improvement in data management, environmentally sustainable AI practices, or capacity/skills development in Brazil from 2018-2022.",[]
Brazil,2018-2022,https://www.un.org/en/desa/artificial-intelligence-saving-natural-world,2018,2022,2020,Artificial intelligence saving the natural world,with UNEP support Brazil digital environmental monitoring developed data management artificial intelligence AI capacity skills environmental information system government stakeholder institution platform training after:2018-01-01 before:2022-01-01,www_un_org_Artificial_intelligence_saving_the_natural_world.txt,False,False,False,,0.0,0.0,none,none,unclear,unclear,No evidence available due to document fetch error.,No evidence available due to document fetch error.,[]
