Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,capacity_relevant,capacity_evidence_doc,cd,capacity_justification,evidence_phrases
Brazil,2014-2018,https://link.springer.com/chapter/10.1007/978-3-319-27288-7_13,2014,2018,2016,Case Studies of Capacity Building for Biodiversity Monitoring,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,link_springer_com_Case_Studies_of_Capacity_Building_for_Biodiversity_f95cd21ac1.txt,False,False,,"The document does not contain explicit evidence related to environmental data, statistics, scientific assessment, monitoring, early warning data inputs, information systems, reporting frameworks, or environmental indicators for Brazil during 2014-2018.",[]
Brazil,2014-2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC4211003/,2014,2018,2016,Managing the Health Impacts of Drought in Brazil - PMC - NIH,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,pmc_ncbi_nlm_nih_gov_Managing_the_Health_Impacts_of_Drought_in_Brazil_P_ce23a7745f.txt,False,False,,The document does not contain any relevant information about Brazil or environmental data systems during 2014-2018.,[]
Brazil,2014-2018,https://publications.iom.int/system/files/pdf/policy_brief_series_vol2_issue5_en.pdf,2014,2018,2016,Policy Brief Series,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,publications_iom_int_Policy_Brief_Series_8c6788340c.txt,False,False,,"The document does not provide explicit evidence of Brazil's institutional or technical capacity to develop, produce, maintain, or use environmental data systems, environmental statistics, scientific environmental assessments, environmental monitoring systems, or environmental information platforms during 2014-2018. It primarily focuses on environmental migration, climate change, and disaster management policies.",[]
Brazil,2014-2018,https://thecommonsjournal.org/articles/10.18352/ijc.756,2014,2018,2016,Using the capability approach to analyze contemporary ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,thecommonsjournal_org_Using_the_capability_approach_to_analyze_contempor_2c3e050bfd.txt,False,False,,"The document does not provide explicit evidence of institutional or technical capacity to develop, produce, maintain, or use environmental data systems, environmental statistics, scientific environmental assessments or scientific reviews, environmental monitoring systems, environmental data inputs to early warning systems, environmental information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories, or institutional arrangements for producing or coordinating environmental evidence in Brazil during 2014–2018.","[""The capability approach is applied to analyze human development in the community of Trindade, Brazil"", ""The research focuses on the impacts of development and conservation policies on the community of Trindade"", ""The study explores the relationship between the community and Brazil's Federal Government""]"
Brazil,2014-2018,https://unhabitat.org/brazil,2014,2018,2016,Urbanization in Brazil: Building inclusive & sustainable cities,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,unhabitat_org_Urbanization_in_Brazil_Building_inclusive_sustaina_9a9db851a3.txt,False,False,,"The document does not provide explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments, or environmental monitoring systems in Brazil during 2014-2018. It primarily focuses on UN-Habitat's projects and activities in Brazil related to sustainable urban development, housing, and the implementation of the Sustainable Development Goals (SDGs).",[]
Brazil,2014-2018,https://warnercnr.colostate.edu/cpam/collaborative-capacity-building-programs/,2014,2018,2016,Collaborative Capacity Building Programs,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,warnercnr_colostate_edu_Collaborative_Capacity_Building_Programs_6f220d0412.txt,False,False,,"The document does not provide explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments, environmental monitoring systems, or other relevant capacity domains for Brazil during 2014-2018. It primarily discusses a capacity development program for protected area management and ecotourism in Brazil, but does not mention specific environmental data or information systems.",[]
Brazil,2014-2018,https://www.cbd.int/countries/profile?country=br,2014,2018,2016,Brazil - Country Profile,Brazil environmental data system institutional capacity after:2014-01-01 before:2018-01-01,www_cbd_int_Brazil_Country_Profile_2758b61990.txt,True,True,60.0,"The document provides evidence of Brazil's capacity to develop and implement environmental policies and strategies, including the National Biodiversity Strategy and Action Plan (NBSAP). It mentions the creation of protected areas, sustainable forest management, and mechanisms for monitoring and reviewing implementation. However, the evidence is not comprehensive, and some information is still draft or subject to final approval.","[""Brazil was one of the first South American countries to fully adopt a National Biodiversity Strategy"", ""The Brazilian Government has also created a variety of federal funds and a few tax incentives to promote environmental conservation"", ""There is strong emphasis on environmental education initiatives in Brazil"", ""The Brazilian Institute of Environment and Renewable Natural Resources (IBAMA) was divided in 2007"", ""Brazil has some systems in place to monitor processes and actions""]"
Brazil,2014-2018,https://www.cbd.int/doc/world/br/br-nbsap-v3-en.pdf,2014,2018,2016,National Biodiversity Strategy and Action Plan,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_cbd_int_National_Biodiversity_Strategy_and_Action_Plan_6a5258cd45.txt,True,True,60.0,"The document provides moderate evidence of Brazil's capacity to develop, produce, and use environmental data systems, statistics, and assessments during 2014-2018. The National Biodiversity Strategy and Action Plan (NBSAP) and the National Environment System (Sisnama) demonstrate institutional arrangements for producing and coordinating environmental evidence. However, the document does not provide explicit evidence of operational environmental monitoring systems, early warning systems, or environmental data portals.","[""National Biodiversity Strategy and Action Plan (NBSAP)"", ""National Environment System (Sisnama)"", ""Environmental Monitoring of Brazilian Biomes (PMABB)"", ""Biodiversity Portal"", ""Information System on Brazilian Biodiversity (SiBBr)"", ""National Cadastre of Protected Areas (CNUC)""]"
Brazil,2014-2018,https://www.climatepolicyinitiative.org/publication/towards-efficient-land-use-in-brazil/,2014,2018,2016,Towards Efficient Land Use in Brazil - CPI,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_climatepolicyinitiative_org_Towards_Efficient_Land_Use_in_Brazil_CPI_b45bbee583.txt,False,False,,"The document does not contain explicit evidence related to environmental data systems, statistics, scientific assessments, monitoring, early warning systems, information platforms, reporting frameworks, or environmental indicators for Brazil during 2014-2018.",[]
Brazil,2014-2018,https://www.davidpublisher.com/public/uploads/contribute/593621515a995.pdf,2014,2018,2016,The Barometer of Sustainability as a Monitoring Tool of the ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_davidpublisher_com_The_Barometer_of_Sustainability_as_a_Monitoring_To_80242a5da3.txt,False,False,,"The document does not provide explicit evidence of institutional or technical capacity to develop, produce, maintain, or use environmental data systems, statistics, scientific assessments, monitoring systems, or reporting frameworks for Brazil during 2014-2018. It focuses on a case study of sustainability indicators in Ribeirão Preto, Brazil, using the Barometer of Sustainability tool.",[]
Brazil,2014-2018,https://www.effectivecooperation.org/system/files/2021-06/GDI%20Delivery%20Note%20Reducing%20Deforestation%20in%20Brazil.pdf,2014,2018,2016,Reducing Deforestation Rates in the Brazilian Amazon,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_effectivecooperation_org_Reducing_Deforestation_Rates_in_the_Brazilian_Amaz_1380982bb6.txt,True,True,81.0,"The document provides clear evidence of Brazil's institutional and technical capacity to develop, produce, maintain, or use environmental data systems, statistics, and monitoring during 2014-2018. Specifically, it mentions the creation of an interministerial committee, strengthening of IBAMA's enforcement capacity, and development of a new monitoring system to process satellite data on deforestation.","[""the creation of an interministerial committee"", ""IBAMA launched a new monitoring center to process satellite data of deforestation"", ""strengthened the enforcement capacity of the Ministry of Environment and IBAMA"", ""new monitoring system provided data during the actual time it was being entered and at a higher level of resolution"", ""closer integration between IBAMA and the Ministry of Justice resulted in better enforcement of fines""]"
Brazil,2014-2018,https://www.fundoamazonia.gov.br/en/projeto/Environmental-Monitoring-of-Brazilian-Biomes/,2014,2018,2016,Environmental Monitoring of Brazilian Biomes,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_fundoamazonia_gov_br_Environmental_Monitoring_of_Brazilian_Biomes_0c3bb21abb.txt,True,True,81.0,"The document provides clear evidence of institutionalized or operational national/subnational systems for environmental monitoring and data production in Brazil during 2014-2018. The project 'Environmental Monitoring of Brazilian Biomes' developed and implemented deforestation monitoring systems for the Atlantic Forest, Caatinga, Pampa, and Pantanal biomes. It also calculated CO2 emissions and created a proposed Forest Reference Emission Level (FREL) for each biome. Additionally, a platform for analysis and visualization of large volumes of geospatial data, called 'Brazil Data Cube,' was developed.","[""Development and enactment of deforestation monitoring systems for the Atlantic Forest, Caatinga, Pampa and Pantanal biomes"", ""Calculation of CO2 emissions for deforested areas and creation of a proposed FREL for each of these biomes"", ""Platform development for analysis and visualization of large volumes of geospatial data"", ""Brazil Data Cube platform"", ""Deforestation monitoring systems"", ""Forest Reference Emission Level (FREL)"", ""Environmental monitoring of Brazilian Biomes""]"
Brazil,2014-2018,https://www.gov.br/mma/pt-br/assuntos/mudanca-do-clima/sumario_ingles.pdf,2014,2018,2016,to Climate Change - Portal Gov.br,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_gov_br_to_Climate_Change_Portal_Gov_br_4c69b7c66b.txt,True,True,60.0,"The document provides evidence of Brazil's capacity to develop and implement climate change adaptation plans, including the National Adaptation Plan (NAP) established in 2016. The plan includes strategies for sectoral and thematic approaches, inter-governmental coordination, and capacity building. However, the evidence is mostly related to planning and strategy development rather than operationalized systems or institutionalized capacities.","[""National Adaptation Plan (NAP) established by Ministry of Environment (MMA) Order 150 of 10th May 2016"", ""Technical Group for Adaptation established to provide technical and political guidance"", ""Strategy to enhance the quality of climate projections"", ""Plan of action to implement Technological Needs Assessment (TNA) for adaptation"", ""Online Platform for management of knowledge on adaptation"", ""Capacity-building strategy for adaptation developed and implemented for various target publics"", ""NAP monitoring and evaluation system developed and implemented""]"
Brazil,2014-2018,https://www.gwp.org/en/learn/KNOWLEDGE_RESOURCES/Case_Studies/Americas--Caribbean/Brazil-An-innovative-management-model-for-rural-water-supply-and-sanitation-in-Ceara-State-411/,2014,2018,2016,An innovative management model for rural water supply ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_gwp_org_An_innovative_management_model_for_rural_water_sup_2a4d09c207.txt,False,False,,"The document does not provide explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments or reviews, environmental monitoring systems, early warning systems, environmental information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories in Brazil during 2014-2018. It focuses on a case study of rural water supply and sanitation in Ceará State, Brazil, but does not address environmental capacity.",[]
Brazil,2014-2018,https://www.oecd.org/content/dam/oecd/en/publications/reports/2015/09/water-resources-governance-in-brazil_g1g5757c/9789264238121-en.pdf,2014,2018,2016,Water Resources Governance in Brazil,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_oecd_org_Water_Resources_Governance_in_Brazil_37a01ff6cb.txt,True,True,40.0,"The document provides evidence of Brazil's efforts to strengthen water governance and management between 2014 and 2018. While there are some positive developments, such as the creation of the National Pact for Water Management and the implementation of Progestão, the overall capacity score is limited by the lack of explicit evidence on environmental data systems, environmental statistics, scientific environmental assessments, environmental monitoring systems, and environmental information platforms.","[""Brazil holds 12% of worldwide freshwater"", ""The Brazilian National Water Agency (ANA) and the OECD have been working together"", ""The report focuses on two critical conditions for more sustainable, inclusive and effective water policies in Brazil"", ""Better water allocation regimes to manage trade-offs across water users and uses"", ""A stronger multi-level governance system to better reconcile state and federal priorities and improve capacity at different levels of government"", ""The National Pact for Water Management provides a sound vehicle for enhanced multi-level dialogue"", ""The ANA, as the meeting point between top-down and bottom-up policies, has a decisive role to play""]"
Brazil,2014-2018,https://www.proforest.net/fileadmin/uploads/proforest/Documents/Publications/bn09_eng_final_web.pdf,2014,2018,2016,Socio-environmental monitoring of the cattle sector in Brazil,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_proforest_net_Socio_environmental_monitoring_of_the_cattle_secto_b6ff693c6f.txt,True,True,60.0,"The document provides evidence of Brazil's capacity to develop and implement environmental monitoring systems, specifically in the cattle sector, during 2014-2018. The country has established tools such as the Animal Transit Guide (GTA) and remote socio-environmental monitoring systems, which demonstrate institutional capacity. However, the implementation and integration of these systems are still evolving, and challenges remain, particularly in including indirect suppliers and expanding monitoring to other biomes.","[""The Brazilian cattle industry has developed initiatives to improve its productive efficiency and reduce the pressure on natural ecosystems, mainly through socio-environmental monitoring and control of direct cattle suppliers"", ""The three largest Brazilian meat processors made a commitment to the Federal Prosecutors Office and Greenpeace to monitor their suppliers"", ""The main sources currently used for remote socio-environmental monitoring are: Environmental Registry (CAR), List of areas embargoed by IBAMA, The 'Slave Labour List' of the Ministry of Labour and Employment"", ""GTA combined with other tools has enormous potential to extend the scope of socio-environmental monitoring to indirect cattle suppliers"", ""The Agricultural Management Platform (PGA) aggregates data from GTAs and is administered by the Ministry of Agriculture, Livestock, and Supply""]"
Brazil,2014-2018,https://www.rgs.org/schools/resources-for-schools/the-belo-monte-hydroelectric-dam-complex-in-brazil,2014,2018,2016,The Belo Monte Hydroelectric Dam complex in Brazil,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_rgs_org_The_Belo_Monte_Hydroelectric_Dam_complex_in_Brazil_b5328535f2.txt,False,False,,"The document does not contain explicit evidence related to environmental data systems, statistics, scientific environmental assessments or reviews, monitoring systems, early warning systems, information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories, or institutional arrangements for producing or coordinating environmental evidence in Brazil during 2014-2018.",[]
Brazil,2014-2018,https://www.sciencedirect.com/science/article/abs/pii/S0195925517302032,2014,2018,2016,The attractive concept of simplicity in environmental impact ...,Brazil environmental data system institutional capacity after:2014-01-01 before:2018-01-01,www_sciencedirect_com_The_attractive_concept_of_simplicity_in_environmen_a9fd33e0e3.txt,False,False,,"The document does not contain any information about Brazil or the period 2014-2018, nor does it discuss environmental data systems, statistics, assessments, monitoring, or reporting frameworks.",[]
Brazil,2014-2018,https://www.sciencedirect.com/science/article/pii/S0921800916308758,2014,2018,2016,Brazil's National Environmental Registry of Rural Properties,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_sciencedirect_com_Brazil_s_National_Environmental_Registry_of_Rural__3100e9a533.txt,False,False,,"The document does not contain any information about Brazil or the period 2014-2018, nor does it discuss environmental data systems, statistics, assessments, monitoring, or reporting frameworks.",[]
Brazil,2014-2018,https://www.sciencedirect.com/science/article/pii/S1679007316301505,2014,2018,2016,Biodiversity monitoring in the environmental impact ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_sciencedirect_com_Biodiversity_monitoring_in_the_environmental_impac_ffa7eb061e.txt,False,False,,"The document does not contain any information about Brazil or the period 2014-2018, nor does it discuss environmental data systems, statistics, scientific assessments, monitoring systems, or related capacity.",[]
Brazil,2014-2018,https://www.unoosa.org/oosa/en/ourwork/psa/emnrm/biodiversity.html,2014,2018,2016,Biodiversity and Ecosystems Management,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_unoosa_org_Biodiversity_and_Ecosystems_Management_01e250e021.txt,False,False,,"The document is not about Brazil, and it does not contain explicit evidence related to environmental data systems, statistics, scientific assessments, monitoring systems, or reporting frameworks for Brazil during 2014-2018.",[]
Brazil,2014-2018,https://www.worldbank.org/en/results/2017/04/04/providing-better-accessibility-to-rural-communities-in-sao-paulo-brazil,2014,2018,2016,Providing Better Accessibility to Rural Communities in São ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www_worldbank_org_Providing_Better_Accessibility_to_Rural_Communitie_91eefd036a.txt,False,False,,"The document is not about environmental data systems, statistics, scientific assessments, monitoring, early warning systems, information platforms, reporting frameworks, or environmental indicators in Brazil during 2014-2018. It is about a road rehabilitation project in São Paulo, Brazil.",[]
Brazil,2014-2018,https://www.worldbank.org/en/results/2017/04/11/promoting-sustainable-development-in-brazils-pampa-biome,2014,2018,2016,Promoting Sustainable Development in Brazil's Pampa ...,Brazil environmental data system institutional capacity after:2014-01-01 before:2018-01-01,www_worldbank_org_Promoting_Sustainable_Development_in_Brazil_s_Pamp_8be02ed188.txt,False,False,,"The document does not provide explicit evidence of institutional or technical capacity to develop, produce, maintain, or use environmental data systems, statistics, scientific assessments, monitoring systems, or information platforms in Brazil during 2014–2018.",[]
Brazil,2014-2018,https://www.wri.org/research/how-strengthen-institutional-architecture-capacity-building-support-post-2020-climate,2014,2018,2016,How to Strengthen the Institutional Architecture for ...,Brazil environmental data system institutional capacity after:2014-01-01 before:2018-01-01,www_wri_org_How_to_Strengthen_the_Institutional_Architecture_f_76b314a5fe.txt,False,False,,"The document does not provide explicit evidence of Brazil's institutional or technical capacity to develop, produce, maintain, or use environmental data systems, statistics, scientific assessments, monitoring systems, or information platforms during 2014-2018. The document primarily focuses on capacity building for climate change under the UNFCCC, without specific mention of Brazil or its environmental data capabilities.",[]
Brazil,2014-2018,https://www2.cifor.org/redd-case-book/case-reports/brazil/acres-state-system-incentives-environmental-services-sisa-brazil/,2014,2018,2016,Acre's State System of Incentives for Environmental ...,Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www2_cifor_org_Acre_s_State_System_of_Incentives_for_Environmenta_396e133063.txt,True,True,81.0,"The document provides clear evidence of institutionalized or operational national/subnational systems in Brazil, specifically the State System of Incentives for Environmental Services (SISA) in Acre, Brazil. SISA is a jurisdictional REDD+ program that includes environmental data systems, environmental statistics, scientific environmental assessments, environmental monitoring systems, and environmental information platforms.","[""Acre’s State System of Incentives for Environmental Services (SISA) is known as the world’s first jurisdictional REDD+ program."", ""The SISA law created a number of institutions to administer the system and procure funding for it."", ""Acre’s government created its own remote sensing institution, called the Central Geoprocessing and Remote Sensing Unit (UCEGEO), to monitor deforestation occurring at a smaller scale than the Brazilian national monitoring institution (INPE) can detect."", ""The State Secretariat of Environment also held public consultation meetings with more than 170 people to discuss the document and to work toward a fair and efficient structure of benefit sharing."", ""SISA works primarily through existing sustainable development initiatives, as well as through direct support to some community associations.""]"
Brazil,2014-2018,https://www2.cifor.org/redd-case-book/case-reports/brazil/sustainable-settlements-amazon-brazil/,2014,2018,2016,"Sustainable Settlements in the Amazon, Brazil | REDD+ on ...",Brazil capacity building environmental monitoring system after:2014-01-01 before:2018-01-01,www2_cifor_org_Sustainable_Settlements_in_the_Amazon_Brazil_REDD__7220955fc8.txt,False,False,,"The document does not provide explicit evidence of institutional or technical capacity in Brazil during 2014-2018 related to environmental data systems, environmental statistics, scientific environmental assessments or reviews, environmental monitoring systems, environmental data inputs to early warning systems, environmental information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories, or institutional arrangements for producing or coordinating environmental evidence.",[]
Brazil,2018-2022,https://climateactiontracker.org/countries/brazil/2020-09-22/,2018,2022,2020,Brazil - Assessment - 22/09/2020,Brazil environmental information system capacity after:2018-01-01 before:2022-01-01,climateactiontracker_org_Brazil_Assessment_22_09_2020_c5ee16cd48.txt,False,False,,"The document does not contain explicit evidence related to environmental data systems, statistics, scientific assessments, monitoring systems, early warning systems, information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories in Brazil during 2018-2022. It primarily discusses climate change, greenhouse gas emissions, and policy projections.",[]
Brazil,2018-2022,https://climateactiontracker.org/countries/brazil/2021-09-15/policies-action/,2018,2022,2020,Brazil,Brazil environmental monitoring framework data reporting after:2018-01-01 before:2022-01-01,climateactiontracker_org_Brazil_133801c0e7.txt,False,False,,"The document does not contain explicit evidence related to environmental data systems, statistics, scientific assessments, monitoring systems, or reporting frameworks for Brazil during 2018-2022. It primarily discusses climate policies, actions, and targets, but does not provide information on the country's capacity to develop, produce, maintain, or use environmental data systems.",[]
Brazil,2018-2022,https://climateknowledgeportal.worldbank.org/sites/default/files/2021-07/15915-WB_Brazil%20Country%20Profile-WEB.pdf,2018,2022,2020,BRAZIL - Climate Change Knowledge Portal - World Bank,Brazil environmental information system capacity after:2018-01-01 before:2022-01-01,climateknowledgeportal_worldbank_org_BRAZIL_Climate_Change_Knowledge_Portal_World_Bank_30eca6d99c.txt,False,False,,"The document does not contain explicit evidence related to environmental data, statistics, scientific assessment, monitoring, early warning data inputs, information systems, reporting frameworks, or environmental indicators for Brazil during 2018-2022.",[]
Brazil,2018-2022,https://dart.informea.org/,2018,2022,2020,Data Reporting Tool for MEAS - DaRT | DaRT,Brazil environmental monitoring framework data reporting after:2018-01-01 before:2022-01-01,dart_informea_org_Data_Reporting_Tool_for_MEAS_DaRT_DaRT_4afc8ff882.txt,False,False,,"The document does not contain explicit evidence related to Brazil during 2018–2022 about environmental data systems, environmental statistics, scientific environmental assessments or scientific reviews, environmental monitoring systems, environmental data inputs to early warning systems, environmental information platforms, national environmental reporting frameworks, State of Environment reporting systems, environmental indicators, data portals, databases, or observatories, or institutional arrangements for producing or coordinating environmental evidence.",[]
