Entity,TimeWindow,Link,period_start,period_end,period_midpoint,Title,Query,TextFile,law_relevant,unep_attributed,attributable_relevant_doc,sd,env_law_score,unep_attribution_score,support_type,action_stage,evidence_level,law_justification,unep_justification,evidence_phrases
Brazil,2018-2022,https://static.portaldaindustria.com.br/media/filer_public/3c/c8/3cc8e408-c9a8-412c-a3f3-e536f8feec31/factsheet_1_executive_summary1.pdf,2018,2022,2020,Brazil is a key player on the sustainable agenda The EU- ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,static_portaldaindustria_com_br_Brazil_is_a_key_player_on_the_sustainable_agenda_T.txt,True,False,False,,60.0,0.0,policy / law / regulation / legal framework / institutional support initiative,implemented / strengthened,national,"The document mentions Brazil's adoption and implementation of rules regarding multilateral treaties on environment since the 1970s, including the Nagoya Protocol. It also mentions Brazil's National Policy for Climate Change with 13 main goals, and the implementation of strict domestic regulations to conserve native vegetation, such as the Forest Code.",There is no explicit link between UNEP and the environmental law or institutional support initiatives in Brazil.,"[""Brazil had and has a crucial role in the conformation of the multilateral environmental agenda."", ""The regulation of several environmental issues gained place in Brazil in topics such as pollution reduction, forest conservation, water, biodiversity, renewable energy, and climate change."", ""Brazil has been adopting and implementing rules regarding all the most relevant multilateral treaties on environment since the 1970s and recently, including the Nagoya Protocol."", ""Brazil has a National Policy for Climate Change. Public commitments include 13 main goals, from deforestation and renewable energy to public transportation."", ""Brazil was the first developing country to voluntarily propose an absolute economy wide target to reduce 37% of its emissions below 2005 levels up to 2025, and 43% up to 2030.""]"
Brazil,2018-2022,https://unesdoc.unesco.org/ark:/48223/pf0000247444,2018,2022,2020,Education for Sustainable Development Goals: learning ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,unesdoc_unesco_org_Education_for_Sustainable_Development_Goals_learni.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://unfccc.int/topics/introduction-to-climate-finance,2018,2022,2020,Introduction to Climate Finance,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,unfccc_int_Introduction_to_Climate_Finance.txt,False,False,False,,0.0,0.0,none,none,global,,,[]
Brazil,2018-2022,https://unhabitat.org/sites/default/files/2021/11/geocities_updated.pdf,2018,2022,2020,Towards Green And Just Cities,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,unhabitat_org_Towards_Green_And_Just_Cities.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",The document does not explicitly link UNEP to strengthening or enabling environmental law in Brazil during 2018-2022.,"[""No relevant evidence found""]"
Brazil,2018-2022,https://www.cambridge.org/core/journals/transnational-environmental-law/article/mind-the-compliance-gap-how-insights-from-international-human-rights-mechanisms-can-help-to-implement-the-convention-on-biological-diversity/CE0F47664F08EBE4919D5990F3709484,2018,2022,2020,Mind the Compliance Gap: How Insights from International ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_cambridge_org_Mind_the_Compliance_Gap_How_Insights_from_Internat.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Brazil during 2018-2022.,"[""No relevant evidence found""]"
Brazil,2018-2022,https://www.climatepolicyinitiative.org/wp-content/uploads/2021/10/REL-AMZ2030-EN-Protecao-Florestal.pdf,2018,2022,2020,Public Policies for the Protection of the Amazon Forest ...,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_climatepolicyinitiative_org_Public_Policies_for_the_Protection_of_the_Amazon_F.txt,True,False,False,,80.0,0.0,"new or strengthened environmental policy, law, regulation, strategy, legal framework, or governance instrument","developed, adopted, implemented, strengthened",national,"The document provides evidence of Brazil's efforts to protect the Amazon Forest through public policies, including the Action Plan to Prevent and Control Deforestation in the Legal Amazon (PPCDAM), which introduced innovative policy instruments and interagency efforts to combat deforestation. The plan led to a significant reduction in deforestation rates between 2004 and 2012. The document also discusses other policy efforts, such as command and control, priority municipalities, conditional rural credit, protected territories, and payments for ecosystem services.",There is no explicit mention of UNEP's involvement or support in the development or implementation of these policies in the provided document.,"[""Brazil developed the Action Plan to Prevent and Control Deforestation in the Legal Amazon (PPCDAM) in 2004."", ""The plan introduced a new approach to protecting native vegetation in the Amazon and led to a significant reduction in deforestation rates between 2004 and 2012."", ""Empirical evidence indicates that monitoring and law enforcement efforts effectively reduced Amazon deforestation."", ""The Priority Municipalities policy effectively contained deforestation in priority municipalities."", ""Conditional rural credit led to a reduction in the total amount of credit granted in the Amazon biome between 2008 and 2011, mainly due to a drop in medium and large contracts.""]"
Brazil,2018-2022,https://www.drishtiias.com/important-institutions/drishti-specials-important-institutions-international-institution/united-nations-1,2018,2022,2020,United Nations,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_drishtiias_com_United_Nations.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.eli.org/sites/default/files/book_pdfs/gaps_frontmatter_0.pdf,2018,2022,2020,TOWARD A GLOBAL PACT FOR THE ENVIRONMENT,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_eli_org_TOWARD_A_GLOBAL_PACT_FOR_THE_ENVIRONMENT.txt,False,False,False,,0.0,0.0,none,none,unclear,No evidence found,No evidence found,[]
Brazil,2018-2022,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/653650/EXPO_STU(2021)653650_EN.pdf,2018,2022,2020,Trade aspects of the EU-Mercosur Association Agreement,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_europarl_europa_eu_Trade_aspects_of_the_EU_Mercosur_Association_Agree.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.facebook.com/emauthority/posts/the-national-environmental-policy-2018-has-six-priority-areas-of-equal-importanc/10159842188764885/,2018,2022,2020,The National Environmental Policy 2018 has six priority ...,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_facebook_com_The_National_Environmental_Policy_2018_has_six_pri.txt,False,False,False,,0.0,0.0,none,none,unclear,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or policy in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.facebook.com/epaethio/posts/world-environment-programme-unep-launches-a-new-web-based-information-initiative/3100751240151152/,2018,2022,2020,World Environment programme (UNEP) launches a new ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_facebook_com_World_Environment_programme_UNEP_launches_a_new_.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.facebook.com/eppdtt/posts/-welcome-to-the-world-of-meas-meas-or-multilateral-environmental-agreements-are-/324549439267323/,2018,2022,2020,the World of MEAs! 🌏 📃 #MEAs or Multilateral ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_facebook_com_the_World_of_MEAs_MEAs_or_Multilateral_.txt,False,False,False,,0.0,0.0,none,none,unclear,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or policy outcome in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.giz.de/en/downloads/Sustainable%20Finance_English_version.pdf,2018,2022,2020,SUSTAINABLE FINANCE AN OVERVIEW,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_giz_de_SUSTAINABLE_FINANCE_AN_OVERVIEW.txt,False,False,False,,0.0,0.0,none,none,none,,,[]
Brazil,2018-2022,https://www.graduateinstitute.ch/sites/internet/files/2021-06/Greening%20Trade_CDB_Final_Web.pdf,2018,2022,2020,greening international trade: pathways forward,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_graduateinstitute_ch_greening_international_trade_pathways_forward.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",The document does not explicitly link UNEP to strengthening/enabling/developing/adopting/revising/implementing any environmental law or policy in Brazil during 2018-2022.,"[""No relevant phrases""]"
Brazil,2018-2022,https://www.greenpolicyplatform.org/sites/default/files/downloads/resource/irp-mineral_resource_governance-full_report-feb2020_compressed_compressed%20(1).pdf,2018,2022,2020,Mineral Resource Governance in the 21st Century,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_greenpolicyplatform_org_Mineral_Resource_Governance_in_the_21st_Century.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.hbs.edu/ris/download.aspx?name=24-041.pdf,2018,2022,2020,"Private Regulation, Institutional Entrepreneurship, and ...",UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_hbs_edu_Private_Regulation_Institutional_Entrepreneurship_.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Brazil during 2018-2022.,"[""No relevant evidence found""]"
Brazil,2018-2022,https://www.icao.int/CAEP,2018,2022,2020,Committee on Aviation Environmental Protection (CAEP),UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_icao_int_Committee_on_Aviation_Environmental_Protection_CAE.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.icrc.org/sites/default/files/document_new/file_list/guidelines_on_the_protection_of_the_natural_environment_in_armed_conflict_advance-copy.pdf,2018,2022,2020,Guidelines on the Protection of the Natural Environment ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_icrc_org_Guidelines_on_the_Protection_of_the_Natural_Enviro.txt,False,False,False,,0.0,0.0,none,none,none,"The document does not contain explicit evidence related to Brazil in 2018-2022 about new or strengthened environmental policies, laws, regulations, or legal frameworks; institutional support initiatives for environmental law or governance; or strengthening environmental rule of law, compliance, enforcement, access to justice, or MEA implementation.",There is no explicit link between UNEP and any environmental law or policy in Brazil for the period 2018-2022 in the provided document.,"[""The document provided does not contain relevant information for Brazil or the specified time frame.""]"
Brazil,2018-2022,https://www.idea.int/publications/catalogue/html/let-courts-decide-potential-and-limitations-climate-litigation,2018,2022,2020,Let the courts decide? The Potential and Limitations of ...,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_idea_int_Let_the_courts_decide_The_Potential_and_Limitation.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.iisd.org/articles/deep-dive/sustainable-use-natural-resources-governance-challenge,2018,2022,2020,The Sustainable Use of Natural Resources,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_iisd_org_The_Sustainable_Use_of_Natural_Resources.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.ipcc.ch/report/ar6/syr/downloads/report/IPCC_AR6_SYR_SPM.pdf,2018,2022,2020,IPCC_AR6_SYR_SPM.pdf,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_ipcc_ch_IPCC_AR6_SYR_SPM_pdf.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.lawyersnjurists.com/article/development-of-environmental-law/,2018,2022,2020,DEVELOPMENT OF ENVIRONMENTAL LAW,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_lawyersnjurists_com_DEVELOPMENT_OF_ENVIRONMENTAL_LAW.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.lifecycleinitiative.org/wp-content/uploads/2021/12/Methodological-Sheets_2021_final.pdf,2018,2022,2020,Methodological Sheets for,UNEP assisted Brazil environmental compliance policy approved environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_lifecycleinitiative_org_Methodological_Sheets_for.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.linkedin.com/pulse/have-international-environmental-regimes-been-rodrigues-alves-braga,2018,2022,2020,Have the international environmental regimes been ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_linkedin_com_Have_the_international_environmental_regimes_been_.txt,False,False,False,,0.0,0.0,none,none,unclear,"The document does not contain explicit evidence related to environmental law, policy, or institutional support initiatives in Brazil during 2018-2022.","The document does not explicitly link UNEP to any environmental law, policy, or institutional support initiative in Brazil during 2018-2022.",[]
Brazil,2018-2022,https://www.mdpi.com/2071-1050/13/1/286,2018,2022,2020,Governing the Bioeconomy: What Role for International ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_mdpi_com_Governing_the_Bioeconomy_What_Role_for_Internation.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.nature.org/content/dam/tnc/nature/en/documents/TNC-INVESTING-IN-NATURE_Report_01.pdf,2018,2022,2020,Private finance for nature-based resilience,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_nature_org_Private_finance_for_nature_based_resilience.txt,False,False,False,,0.0,0.0,none,none,none,"The document does not contain explicit evidence related to Brazil in 2018-2022 about environmental policy, law, regulation, or institutional support initiatives that contribute to strengthening environmental law.",There is no explicit link between UNEP and any environmental law or policy support initiative in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.ngfs.net/sites/default/files/medias/documents/case_studies_of_environmental_risk_analysis_methodologies.pdf,2018,2022,2020,Case Studies of Environmental Risk Analysis Methodologies,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_ngfs_net_Case_Studies_of_Environmental_Risk_Analysis_Method.txt,False,False,False,,0.0,0.0,none,none,global,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.paulsoninstitute.org/wp-content/uploads/2020/09/FINANCING-NATURE_Full-Report_Final-Version_091520.pdf,2018,2022,2020,Closing the Global Biodiversity Financing Gap,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_paulsoninstitute_org_Closing_the_Global_Biodiversity_Financing_Gap.txt,False,False,False,,0.0,0.0,none,none,unclear,,,[]
Brazil,2018-2022,https://www.researchgate.net/publication/345312908_Corporate_Environmental_Accountability_in_International_Law,2018,2022,2020,Corporate Environmental Accountability in International Law,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_researchgate_net_Corporate_Environmental_Accountability_in_Internat.txt,False,False,False,,0.0,0.0,none,none,unclear,"The document does not contain explicit evidence related to new or strengthened environmental policies, laws, regulations, or legal frameworks in Brazil during 2018-2022.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Brazil during 2018-2022.,[]
Brazil,2018-2022,https://www.umweltbundesamt.de/system/files/medien/5750/publikationen/2021-06-29_texte_102-2021_voeress.pdf,2018,2022,2020,Options under International Law to Increase Resource ...,UNEP initiative Brazil MEA implementation law adopting environmental law policy legislation regulation institutional support initiative MEA internationally agreed environmental objectives after:2018-01-01 before:2022-01-01,www_umweltbundesamt_de_Options_under_International_Law_to_Increase_Resour.txt,False,False,False,,0.0,0.0,none,none,none,"The document does not contain explicit evidence related to Brazil in 2018-2022 about new or strengthened environmental policies, laws, regulations, or legal frameworks; institutional support initiatives for environmental law or governance; or strengthening environmental rule of law, compliance, enforcement, access to justice, or MEA implementation.",There is no explicit link between UNEP and any environmental law or institutional support initiative in Brazil during 2018-2022.,[]
