"Overton id",Title,"Translated title","Document type","Source title","Source country","Source state","Source sector","Source organisation type","Source function",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
jointresearcheu-494b43e0178af567364b52da7ee55541,"Exploring the potential of Co-Governance models to accelerate SDGs at local level",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2025-11-07,0,0,https://publications.jrc.ec.europa.eu/repository/handle/JRC140873,https://app.overton.io/document.php?policy_document_id=jointresearcheu-494b43e0178af567364b52da7ee55541,,,"Capability approach|City|Civic engagement",eng,,"SDG 16: Peace, Justice and Strong Institutions|SDG Target 16.7","Exploring the potential of Co-Governance models to accelerate SDGs at local level"
ebase-e8e51b5886da7dde38dfa3f1c5d3e407,"Forced Self Reliance? Protracted Displacement and Economic Inclusion: Cases from East Africa",,Publication,"Expertgruppen för biståndsanalys",Sweden,,"Public Sector",Government,"Initiative, Programme or Project|Research Centre",2025-10-20,0,0,https://eba.se/rapporter/forced-self-reliance-protracted-displacement-and-economic-inclusion-cases-from-east-africa/23052/,https://app.overton.io/document.php?policy_document_id=ebase-e8e51b5886da7dde38dfa3f1c5d3e407,,,"Agriculture|Asylum seeker|Cooperative",eng,"Expertgruppen för biståndsanalys (EBA)","SDG 10: Reduced Inequality|SDG Target 10.2","Protracted displacement of refugees in East Africa"
hbrnl-eb13ea84a8737124c1eb9e97630d4000,"Advies van BuRO over zeewierconsumptie, zeewierteelt en zeewieraquacultuur in Nederland","Advice from BuRO on seaweed consumption, seaweed cultivation and seaweed aquaculture in the Netherlands",Publication,"Nederlandse Voedsel- en Warenautoriteit (NVWA)",Netherlands,,"Public Sector",Government,"National Body|Research Centre|Arm's Length Body|Policy Centre",2025-10-16,0,0,https://www.nvwa.nl/documenten/organisatie/buro/publicatie/advies-buro-over-zeewierconsumptie-zeewierteelt-en-zeewieraquacultuur,https://app.overton.io/document.php?policy_document_id=hbrnl-eb13ea84a8737124c1eb9e97630d4000,,,"Aquaculture|Ionizing radiation|Pesticide",dut,"Het Bureau Risicobeoordeling en onderzoek (BuRO)","SDG 14: Life Below Water|SDG Target 14.2|SDG 15: Life on Land|SDG Target 15.8","Seaweed farming in the Netherlands"
umweltbundesamt-e44fbed10efa5d678e56d36d4cbf7059,"The relevance of autochthonous vs. allochthonous carbon in Blue Carbon ecosystems for climate change mitigation",,Publication,"Umwelt Bundesamt",Germany,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Monitoring or Regulatory Body",2025-10-09,0,0,https://www.umweltbundesamt.de/publikationen/the-relevance-of-autochthonous-vs-allochthonous,https://app.overton.io/document.php?policy_document_id=umweltbundesamt-e44fbed10efa5d678e56d36d4cbf7059,,,"Blue carbon|Carbon offsets and credits|Carbon sequestration",eng,,,"Climate change mitigation and Blue Carbon ecosystems"
biodiversafr-649584e0533e752b98412cb3df0b7675,"How is the effectiveness of terrestrial protected areas to conserve biodiversity measured?",,Publication,Biodiversa+,France,,"Public Sector",Government,"Research Centre",2025-10-09,0,0,https://www.biodiversa.eu/2025/10/14/how-is-the-effectiveness-of-terrestrial-protected-areas-to-conserve-biodiversity-measured/,https://app.overton.io/document.php?policy_document_id=biodiversafr-649584e0533e752b98412cb3df0b7675,,,"Abstract (summary)|Abundance (ecology)|Biodiversity",eng,,"SDG 15: Life on Land|SDG Target 15.1|SDG Target 15.5","Effectiveness of terrestrial protected areas in conserving biodiversity"
jointresearcheu-2b403c4f9110fda8a08c0daa858602e4,"Towards a Community Acceleration Survey for Europe’s automotive industry",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2025-09-10,0,0,https://publications.jrc.ec.europa.eu/repository/handle/JRC142619,https://app.overton.io/document.php?policy_document_id=jointresearcheu-2b403c4f9110fda8a08c0daa858602e4,,,"Battery electric vehicle|Car|Circular economy",eng,,"SDG 9: Industry, Innovation and Infrastructure|SDG Target 9.4","Community Acceleration Survey for Europe's automotive industry"
banquedefrance-a1123ce01b125a996b4dbd61ae65fa18,"Inflation et risques liés à la nature : une approche macroéconomique par les prix agricoles","Inflation and nature-related risks: a macroeconomic approach through agricultural prices",Publication,"Banque de France",France,,"Public Sector",Government,"National Body|Financial Institution or Bank|Central Bank",2025-07-28,0,0,https://www.banque-france.fr/fr/publications-et-statistiques/publications/inflation-et-risques-lies-la-nature-une-approche-macroeconomique-par-les-prix-agricoles,https://app.overton.io/document.php?policy_document_id=banquedefrance-a1123ce01b125a996b4dbd61ae65fa18,,,"Agricultural biodiversity|Agriculture|Akaike information criterion",eng,"Camille Thubin|Alice Boitout|Pauline Lesterquy|Oriane Wegner|Mathieu Boullot|Youssef Ulgazi|Stéphane Dees|Charles Serfaty","SDG 2: Zero Hunger|SDG Target 2.4|SDG 15: Life on Land|SDG Target 15.9","Macro Modelling of Nature-Related Risks through Agricultural Prices"
europa-668afdce4c80e7e526a92c1ec14e85c4,"Vulnerable marine ecosystems VMEs","Vulnerable marine ecosystems VMEs - Publications Office of the EU",Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2025-07-22,0,0,https://op.europa.eu/en/publication-detail/-/publication/dd96b2ad-6784-11f0-bf4e-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-668afdce4c80e7e526a92c1ec14e85c4,,,"Asturias|Biodiversity|Bottom trawling",eng,"Döring, Ralf|Druon Jean-Noël|Scientific, Technical and Economic Committee for Fisheries (European Commission)","SDG 14: Life Below Water|SDG Target 14.2","Socio-economic impact assessment of Vulnerable Marine Ecosystems closures"
jointresearcheu-9cde1a7bebe31ab52b962e178d8df3cd,"Scientific, Technical and Economic Committee for Fisheries – Vulnerable Marine Ecosystems VMEs - socio-economic impact assessment (STECF-24-09)",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2025-07-22,0,0,https://publications.jrc.ec.europa.eu/repository/handle/JRC142273,https://app.overton.io/document.php?policy_document_id=jointresearcheu-9cde1a7bebe31ab52b962e178d8df3cd,,,"Asturias|Biodiversity|Bottom trawling",eng,,"SDG 14: Life Below Water|SDG Target 14.2","Socio-economic impact assessment of Vulnerable Marine Ecosystems closures"
umweltbundesamt-3f8ba1cd17b9ed0e2b4c0d00da3e9988,"Blue Carbon Ecosystems in Nationally Determined Contributions and national greenhouse gas reporting",,Publication,"Umwelt Bundesamt",Germany,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Monitoring or Regulatory Body",2025-07-08,0,0,https://www.umweltbundesamt.de/publikationen/blue-carbon-ecosystems-in-nationally-determined,https://app.overton.io/document.php?policy_document_id=umweltbundesamt-3f8ba1cd17b9ed0e2b4c0d00da3e9988,,,"Biogeography|Blue carbon|Carbon sequestration",eng,,,"Blue carbon ecosystems and their inclusion in Nationally Determined Contributions (NDCs) and National Inventory Reports (NIRs)"
environmentnz-b304241f02917c3e09768c26ede196c5,"Proposed Amendments to the Environmental Reporting Act 2015: Updated Cost Benefit Analysis",,Publication,"Ministry for the Environment","New Zealand",,"Public Sector",Government,"National Body|Government Department",2025-06-04,0,0,https://environment.govt.nz/publications/proposed-amendments-to-the-environmental-reporting-act-2015-updated-cost-benefit-analysis/,https://app.overton.io/document.php?policy_document_id=environmentnz-b304241f02917c3e09768c26ede196c5,,,"ACT New Zealand|Air pollution|Beta distribution",eng,,"SDG 12: Responsible Consumption and Production|SDG Target 12.4","Environmental Reporting Act 2015"
governmentofflanders-2ceb4c7a83d49778372ed2598a83f0ba,"Meervoudig waarderingskader voor houtkanten. Op naar een gedragen en…","A multi-faceted assessment framework for wood edges. Towards a shared and…",Publication,"Government of Flanders",Belgium,,"Public Sector",Government,"National Body|Mixed Roles|Public Service",2025-06-01,0,0,https://www.vlaanderen.be/Publication/28656,https://app.overton.io/document.php?policy_document_id=governmentofflanders-2ceb4c7a83d49778372ed2598a83f0ba,,,Bee|Biodiversity|Bumblebee,dut,,,"Hedgerows in the Flemish landscape"
umweltbundesamt-7836140a125ad515f36fed4ae0f8cea4,"Umweltwirkungen und umweltverträglicher Ausbau der oberflächennahen Geothermie","Environmental impacts and environmentally friendly development of near-surface geothermal energy",Publication,"Umwelt Bundesamt",Germany,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Monitoring or Regulatory Body",2025-05-19,0,0,https://www.umweltbundesamt.de/publikationen/umweltwirkungen-umweltvertraeglicher-ausbau-der,https://app.overton.io/document.php?policy_document_id=umweltbundesamt-7836140a125ad515f36fed4ae0f8cea4,,,"Aquifer|Climate|Climate change",ger,,"SDG 7: Affordable and Clean Energy|SDG Target 7.2","Environmental impacts and expansion of near-surface geothermal energy"
europa-8f0d277857f84b3d15e9838d42b1e4b9,"Studies in support to the implementation of the mission","Studies in support to the implementation of the mission - Publications Office of the EU",Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2025-05-05,0,0,https://op.europa.eu/en/publication-detail/-/publication/d102fab7-2a32-11f0-8a44-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-8f0d277857f84b3d15e9838d42b1e4b9,,,"Accuracy and precision|Biodiversity|Biomass (energy)",eng,"Ricardo|European Climate, Infrastructure and Environment Executive Agency (European Commission)|Trinomics|Blue Carbon Lab","SDG 6: Clean Water and Sanitation|SDG Target 6.6|SDG 13: Climate Action|SDG Target 13.1|SDG 15: Life on Land|SDG Target 15.1","Blue carbon ecosystems and climate change mitigation"
climatexuk-eb816569757e817b945ca7f9d780726d,"Understanding peatland restoration costs",,Publication,ClimateXChange,UK,,"Public Sector",Government,"Research Centre|Policy Centre",2025-04-30,1,1,https://www.climatexchange.org.uk/projects/understanding-peatland-restoration-costs/,https://app.overton.io/document.php?policy_document_id=climatexuk-eb816569757e817b945ca7f9d780726d,,,Area|Biodiversity|Bog,eng,"Klaus Glenk, SRUC|Julia Martin-Ortega, Sustainability Research Institute, University of Leeds|James Glendinning, SRUC|Daniel Urban, SRUC|Daniel Fletcher, SRUC|Andrew Moxey, Pareto Consulting|Andrew McBride, Land and Habitats Consultancy","SDG 15: Life on Land|SDG Target 15.3","Peatland restoration costs and contractor capacity in Scotland"
stateofmurcia-a5252122b6a05ab28f7bbf1f7532663e,"Universidad de Murcia Facultad de Biología Departamento de Ecología e Hidrología","University of Murcia Faculty of Biology Department of Ecology and Hydrology",Publication,"Comunidad Autónoma de la Región de Murcia",Spain,,"Public Sector",Government,"Regional or State Level Body|Mixed Roles|Public Service",2025-04-22,0,0,https://canalmarmenor.carm.es/wp-content/uploads/Informe_final_abril-2023_junio-2024-Seguimiento-Mar-Menor-Angel-Perez-Ruzafa.pdf,https://app.overton.io/document.php?policy_document_id=stateofmurcia-a5252122b6a05ab28f7bbf1f7532663e,,,"Aluminium|Atmosphere|Biochemical oxygen demand",spa,,"SDG 14: Life Below Water|SDG Target 14.2|SDG 15: Life on Land|SDG Target 15.1","Mar Menor lagoon eutrophication and conservation"
devalde-b2da6aea98509d82be9df90f6c2b78d7,"BMZ'S Support for Protected Areas",,Publication,DEval,Germany,,"Public Sector",Government,"National Body|Research Centre|Policy Centre",2025-04-17,0,1,https://www.deval.org/de/publikationen/bmzs-support-for-protected-areas-1,https://app.overton.io/document.php?policy_document_id=devalde-b2da6aea98509d82be9df90f6c2b78d7,,,"Biodiversity|Conservation biology|Content analysis",eng,,"SDG 15: Life on Land|SDG Target 15.1|SDG Target 15.5|SDG Target 15.a","Support for protected areas"
umweltbundesamt-dee3de588c33a3a66be3cacb18512d4b,"The benefit sharing regime of the International Seabed Authority",,Publication,"Umwelt Bundesamt",Germany,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Monitoring or Regulatory Body",2025-04-16,0,0,https://www.umweltbundesamt.de/publikationen/the-benefit-sharing-regime-of-the-international,https://app.overton.io/document.php?policy_document_id=umweltbundesamt-dee3de588c33a3a66be3cacb18512d4b,,,"Asset|Biodiversity|Capital (economics)",eng,,"SDG 14: Life Below Water|SDG Target 14.1|SDG Target 14.2|SDG Target 14.a","Benefit sharing regime of the International Seabed Authority"
deptofhealthau-d6668e6f8fbb18a993fa1a0474b0ce3b,"Estimates of Australian health system greenhouse gas emissions 2021–22",,Publication,"Australian Government Department of Health",Australia,,"Public Sector",Government,"National Body|Government Department|Healthcare Service, Body or Agency",2025-04-07,4,4,https://www.health.gov.au/resources/publications/estimates-of-australian-health-system-greenhouse-gas-emissions-2021-22?language=en,https://app.overton.io/document.php?policy_document_id=deptofhealthau-d6668e6f8fbb18a993fa1a0474b0ce3b,,,"Air pollution|Biomedical waste|Capital (economics)",eng,,"SDG 13: Climate Action|SDG Target 13.2","Estimates of Australian health system greenhouse gas emissions"
umweltbundesamt-5400d1946bf94b70804101b94a450f14,"Mit der Gewässerentwicklung verbundene Ökosystemleistungen","Ecosystem services associated with water development",Publication,"Umwelt Bundesamt",Germany,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Monitoring or Regulatory Body",2025-04-04,0,1,https://www.umweltbundesamt.de/publikationen/der-gewaesserentwicklung-verbundene,https://app.overton.io/document.php?policy_document_id=umweltbundesamt-5400d1946bf94b70804101b94a450f14,,,"Agriculture|Biodiversity|Classification scheme (information science)",ger,,"SDG 6: Clean Water and Sanitation|SDG Target 6.6|SDG 15: Life on Land|SDG Target 15.1","River and floodplain development, ecosystem services, nature-based measures"
ca_rsc-c1345b4b802f856c7e2693358424d1e6,"Protecting Our Collective Future: Renewing Canada’s Role in Global Health",,Publication,"The Royal Society of Canada",Canada,,"Public Sector",Government,"National Body|Arm's Length Body|Learned Society",2025-03-26,0,0,https://rsc-src.ca/en/protecting-our-collective-future-renewing-canada%E2%80%99s-role-in-global-health-0,https://app.overton.io/document.php?policy_document_id=ca_rsc-c1345b4b802f856c7e2693358424d1e6,,,Aid|COVAX|COVID-19,eng,,"SDG 3: Good Health and Well-being|SDG Target 3.8","Canada's role in global health"
tanzaniagov-39316b0c33d6100f299c28c48cd70ab9,"Forest Governance",,Publication,"Government of Tanzania",Tanzania,,"Public Sector",Government,"National Body|Mixed Roles|Public Service",2025-03-18,0,0,https://www.uongozi.go.tz/newsite/wp-content/uploads/2025/03/Forest-governance-2025_Web.pdf,https://app.overton.io/document.php?policy_document_id=tanzaniagov-39316b0c33d6100f299c28c48cd70ab9,,,"Agriculture|Agroforestry|Capacity building",eng,,"SDG 15: Life on Land|SDG Target 15.2","Forest governance in Tanzania"
europa-5f71f7f25fa6f6dee55f2b5d282d7403,"System of environmental-economic accounting","System of environmental-economic accounting - Publications Office of the EU",Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2025-03-12,20,23,https://op.europa.eu/en/publication-detail/-/publication/532fca71-ffbc-11ef-9503-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-5f71f7f25fa6f6dee55f2b5d282d7403,,,"Asset|Biodiversity|Earth sciences",eng,"Organisation for Economic Co-operation and Development|United Nations Organisation|International Monetary Fund|The World Bank|Food and Agriculture Organization|Eurostat (European Commission)","SDG 15: Life on Land|SDG Target 15.9","Environmental-Economic Accounting and Ecosystem Accounting"
jointresearcheu-53b2d8c0f3a1824094598811a74f2bc1,"Decoding Depression: Exploring the Environome Across Life Course",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2025-02-14,0,1,https://publications.jrc.ec.europa.eu/repository/handle/JRC139918,https://app.overton.io/document.php?policy_document_id=jointresearcheu-53b2d8c0f3a1824094598811a74f2bc1,,,"Adherence (medicine)|Adolescence|Adverse outcome pathway",eng,"CERESA Mario|CHARVERIAT Celine|BRIQUET-LAUGIER Veronique|QUERCI Maddalena|DE BERNARDI Francesca|PETRILLO Mauro|ALCARO Stefano|LOMBARDI Italo|ROMEO Pietro|SCHADE Sven|BAKOGIANNI Ioanna|MARAGKOUDAKIS Petros|HUPONT TORRES Isabelle|BARREDA ANGELES Miguel|GAWLIK Bernd Manfred|GALLO Alessandro|CALDEIRA Sandra|WIESENTHAL Tobias|COECKE Sandra|PANZARELLA Giulia|PANG Camilla|CAIRNEY Scott|PLADUNOVA Safiya|BOBACH Claudia|PALACIOS-SANCHEZ Leonardo|MUNOZ PINEIRO Amalia|SOLMI Marco|KOVACIC Matija|KOURTI Naouma|KEPHALOPOULOS Stylianos|SARRIS Jerome|BUCKMAN Joshua|LAUREYS Steven|GALLO Stefania|FIRTH Joseph|BAGGIO Marianna|SACHANA Magdalini|RONCHI Francesca|QUETEL Christophe|DI GIOIA Rosanna|PUERTAS GALLARDO Antonio|PEVERE Marghetita|YO Kaihsiang Morton|VIGNES Maguelone|VERNETTI Christine|VAN RIJN Elaine|TORRES Felipe|TOCZYSKI Piotr|VAN KAMP Irene|TAVAZZI Simona|TAKKI Marianne","SDG 3: Good Health and Well-being|SDG Target 3.4","Mental health, depression, policy responses, European Commission"
committee_house-b57aa48498fac3b49a5427d52a2319e6,"Oversight Hearing on ""Now Ore Never: The Importance of Domestic Mining for U.S. National Security""",,Publication,"House Committees",USA,,"Public Sector",Government,"National Body|Parliament, Senate or Congress|Archive|Hansard or Legislative Transcripts|Committee",2025-02-06,0,0,https://api.congress.gov/v3/committee-meeting/119/house/117845?format=json,https://app.overton.io/document.php?policy_document_id=committee_house-b57aa48498fac3b49a5427d52a2319e6,chamber|comittees|congress,,Agriculture|Biotechnology|California,eng,,"SDG 7: Affordable and Clean Energy|SDG Target 7.2|SDG 12: Responsible Consumption and Production|SDG Target 12.2|SDG Target 12.5|SDG 9: Industry, Innovation and Infrastructure|SDG Target 9.4|SDG 13: Climate Action|SDG Target 13.2|SDG Target 9.2|SDG 8: Decent Work and Economic Growth|SDG Target 8.7","Academic and professional biography of Dustin R. Mulvaney"
europa-5e7a6ff774c1621df7a7008e4b3f98de,"European maritime transport environmental report 2025","European maritime transport environmental report 2025 - Publications Office of the EU",Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2025-02-05,2,3,https://op.europa.eu/en/publication-detail/-/publication/35bb563b-e50d-11ef-bc1c-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-5e7a6ff774c1621df7a7008e4b3f98de,,,"Air pollution|Biofuel|Black carbon",eng,"European Environment Agency (EU body or agency)|European Maritime Safety Agency (EU body or agency)","SDG 13: Climate Action|SDG Target 13.2","Maritime Transport Environmental Report"
biodiversafr-8c5cad565213e4498202039fc3950b61,"Guide on policy relevance of research",,Publication,Biodiversa+,France,,"Public Sector",Government,"Research Centre",2025-01-17,0,0,https://www.biodiversa.eu/2023/04/28/guide-on-policy-relevance-of-research/,https://app.overton.io/document.php?policy_document_id=biodiversafr-8c5cad565213e4498202039fc3950b61,,,"Biodiversity|Conservation biology|Convention on Biological Diversity",eng,,"SDG 15: Life on Land|SDG Target 15.9","Policy relevance of research proposals in biodiversity and ecosystem services"
europa-8214bd5898b064706cdee5e6b5c35a37,"Guidance on the application of the CLP Criteria","Guidance on the application of the CLP Criteria - Publications Office of the EU",Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2025-01-08,1,1,https://op.europa.eu/en/publication-detail/-/publication/ad32347e-ce3d-11ef-be2a-01aa75ed71a1/language-en,https://app.overton.io/document.php?policy_document_id=europa-8214bd5898b064706cdee5e6b5c35a37,,,"Absorption (skin)|Acute toxicity|Aerosol",eng,"European Chemicals Agency (EU body or agency)","SDG 3: Good Health and Well-being|SDG Target 3.9","Guidance on the application of the CLP criteria for health hazards"
