Entity,TimeWindow,QueryNumber,Query,Title,Link,Snippet,DisplayLink,TextFile,climate_relevant,unep_attributed,climate_policy_score,unep_attribution_score,instrument_type,action_stage,evidence_level,climate_justification,unep_justification,evidence_phrases
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,"Cleaning the air, protecting the climate: Policy, legal and ...",https://www.sciencedirect.com/science/article/pii/S1462901118309468,The main objective of this paper is to analyse the current policy and legal status of black carbon emissions across the domains of air pollution prevention and ...,https://www.sciencedirect.com › science › article › pii,www_sciencedirect_com_Cleaning_the_air_protecting_the_climate_Policy_leg.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Leveraging NDCs and Long-Term Strategies to achieve ...,https://www.mofa.go.jp/files/000498437.pdf,LTS and NDCs contribute to the implementation of the G20 Action Plan on the 2030 Agenda through which G20 members agreed to align their policy actions and ...,https://www.mofa.go.jp › files,www_mofa_go_jp_Leveraging_NDCs_and_Long_Term_Strategies_to_achiev.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to Kenya's climate mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework for the period 2018-2022.",There is no explicit link between UNEP and any climate policy or strategy in Kenya for the period 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,ECOWAS ENVIRONMENTAL ACTION PLAN 2020-2026,https://ecowap.ecowas.int/media/ecowap/file_document/2020_ECOWAS_ECOWAS_ENVIRONMENTAL_ACTION_PLAN_Final_Version_-_ENG.pdf,"However, UNEP has deplored gaps identified in the implementation of these policy documents due mainly to inadequate institutional, financial and technological ...",https://ecowap.ecowas.int › ecowap › file_document,ecowap_ecowas_int_ECOWAS_ENVIRONMENTAL_ACTION_PLAN_2020_2026.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to Kenya's climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks adopted between 2018-2022.",There is no explicit link between UNEP and any climate-related policy or strategy in Kenya during 2018-2022.,"[""The document is about ECOWAS Environmental Action Plan 2020-2026 and does not mention Kenya.""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Green Development Guidance for BRI Projects Baseline ...,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,"Through in-depth analysis of environmental policies, safeguard measures and practices of govern- ments, financial institutions and NGOs around the world, this ...",http://en.brigc.net › Reports › Report_Download,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,False,False,0,0,none,none,none,"The document does not contain explicit evidence related to Kenya's climate mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework during 2018-2022.",There is no explicit link between UNEP and strengthening/enabling/adoption/implementation of any climate policy/strategy/legal framework in Kenya during 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,NATIONAL REDD+ STRATEGY,https://www.un-redd.org/sites/default/files/2022-05/NATIONAL%20REDD%2B%20STRATEGY%202022.pdf,This strategy describes Kenya's proposed approach for implementing the REDD+ programme. As a developing country aiming to achieve low emissions development ...,https://www.un-redd.org › sites › default › files,www_un-redd_org_NATIONAL_REDD_STRATEGY.txt,True,False,81,0,National REDD+ Strategy,adopted,national,"The document describes Kenya's National REDD+ Strategy, which aims to reduce emissions from deforestation and forest degradation. The strategy was developed with support from the United Nations Development Programme (UNDP) and other partners. It outlines five strategic options for REDD+ implementation, including scaling up afforestation and reforestation programs, enhancing governance and policy implementation, increasing productivity of public plantation forests, enhancing efficiency and skills throughout forest-related value chains, and mobilizing finance for REDD+ implementation.","There is no explicit mention of UNEP's support in the adoption, approval, enactment, endorsement, launch, or implementation of the National REDD+ Strategy in Kenya.","[""The Ministry of Environment and Forestry embarked and delivered on the key REDD+ instruments for Kenya. The National REDD+ Strategy is one of the pillars delivered, thus putting Kenya in the league of UNFCCC countries that have developed the REDD+ architecture."", ""With the support of the United Nations Development Programme (UNDP) through financing the Forest Carbon Partnership Facility (FCPF), the Ministry of Environment and Forestry embarked and delivered on the key REDD+ instruments for Kenya."", ""Kenya’s National REDD+ Strategy was developed through the hard work and support from several stakeholders and national experts.""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Greening Kenya's Special Economic Zones and Industrial ...,https://researchleap.com/greening-kenyas-special-economic/,"The policy framework for green economy in Kenya is spelled out in the constitution of Kenya 2010, Kenya Vision 2030, Green Economy Strategy and Implementation ...",https://researchleap.com › greening-kenyas-special-econ...,researchleap_com_Greening_Kenya_s_Special_Economic_Zones_and_Indust.txt,True,False,61,0,climate change mitigation strategy / policy / legal framework,developed,national,"The document mentions Kenya's National Climate Change Response Strategy (NCCRS), National Climate Change Action Plan (NCCAP), and the Climate Change Act, Number 11 of 2016, which are relevant to climate change mitigation and adaptation.","There is no explicit mention of UNEP's role in supporting or enabling the adoption of climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks in Kenya during 2018-2022.","[""The policy framework for green economy in Kenya is spelled out in the constitution of Kenya 2010, Kenya Vision 2030, Green Economy Strategy and Implementation Plan (GESIP), National Climate Change Response Strategy (NCCRS), National Climate Change Action Plan (NCCAP), the draft Environmental Policy, the draft Kenyan Climate Change Policy of 2014 and the Climate Change Act, Number 11 of 2016.""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,unep.pdf,https://www.un.org/sites/un2.un.org/files/2020/02/unep.pdf,The Programme provides an inter- governmental framework to assist countries in implementing obligations under international law. ... national and regional legal ...,https://www.un.org › un2.un.org › files › 2020/02,www_un_org_unep_pdf.txt,False,False,0,0,none,none,none,,,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Sessional paper No.....of 2012 On Kenya Vision 2030,https://vision2030.go.ke/wp-content/uploads/2018/05/Sessional-paper-No.-10-of-2012-On-Kenya-Vision-2030.pdf,"Specific strategies will involve: • Aligning the national policy and legal framework with the needs of a market-based economy, human rights and gender ...",https://vision2030.go.ke › uploads › 2018/05 › S...,vision2030_go_ke_Sessional_paper_No_of_2012_On_Kenya_Vision_2030.txt,False,False,0,0,none,none,national,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya in 2018-2022.","There is no explicit link between UNEP and any climate change mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework in Kenya in 2018-2022.",[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Action for climate empowerment: guidelines ...,https://unesdoc.unesco.org/ark:/48223/pf0000246435,"The guidelines provide a flexible, phased approach to the strategic and systematic implementation of ACE activities at the national level, driven by each ...",https://unesdoc.unesco.org › ark:,unesdoc_unesco_org_Action_for_climate_empowerment_guidelines_.txt,False,False,0,0,none,none,unclear,The document is not related to climate policy evaluation for Kenya in 2018-2022.,The document does not mention UNEP or any climate policy-related activities for Kenya in 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Net Zero by 2050 - A Roadmap for the Global Energy Sector,https://iea.blob.core.windows.net/assets/deebef5d-0c34-4539-9d0c-10b13d840027/NetZeroby2050-ARoadmapfortheGlobalEnergySector_CORR.pdf,"This report sets out clear milestones – more than 400 in total, spanning all sectors and technologies – for what needs to happen, and when, to transform the ...",https://iea.blob.core.windows.net › assets › NetZer...,iea_blob_core_windows_net_Net_Zero_by_2050_A_Roadmap_for_the_Global_Energy_S.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to Kenya's climate mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework during 2018-2022.",There is no explicit link between UNEP and any climate policy or strategy in Kenya during 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Sessional paper No.....of 2012 On Kenya Vision 2030,https://vision2030.go.ke/wp-content/uploads/2018/05/Sessional-paper-No.-10-of-2012-On-Kenya-Vision-2030.pdf,"Specific strategies will involve: • Aligning the national policy and legal framework with the needs of a market-based economy, human rights and gender ...",https://vision2030.go.ke › uploads › 2018/05 › S...,vision2030_go_ke_Sessional_paper_No_of_2012_On_Kenya_Vision_2030.txt,False,False,0,0,none,none,national,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya in 2018-2022.",There is no explicit link between UNEP and any climate-related policy or strategy in Kenya for 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,"Smart, Sustainable and Resilient cities:",https://unepdhi.org/wp-content/uploads/sites/2/2023/02/Smart_Sustainable_and_Resilient_Cities_The_Power_of_NbS_Working_Paper_for_the_G20.pdf,"By accelerating the implementation of NbS, decision-makers can help their cities adapt to the changing climate while also enhancing climate resilience and ...",https://unepdhi.org › uploads › sites › 2023/02,unepdhi_org_Smart_Sustainable_and_Resilient_cities_.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya during 2018-2022.",There is no explicit link between UNEP and any climate policy or legal framework outcome in Kenya during 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Education for Sustainable Development Goals: learning ...,https://unesdoc.unesco.org/ark:/48223/pf0000247444,"More recently, Kenya formulated a national ESD Policy Framework in 2012 through the Kenya Institute of Curriculum Development with the goal of enhancing ...",https://unesdoc.unesco.org › ark:,unesdoc_unesco_org_Education_for_Sustainable_Development_Goals_learni.txt,False,False,0,0,none,none,unclear,"The document is not related to climate policy or Kenya, but rather to education for sustainable development goals by UNESCO.",There is no mention of UNEP or any climate-related policy in the document.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Chapter 4 — Global Warming of 1.5 ºC,https://www.ipcc.ch/sr15/chapter/chapter-4/,"The goal for strengthening implementation is to ensure that these rules and regulations embrace equity, equality and poverty alleviation along 1.5°C ...",https://www.ipcc.ch › chapter › chapter-4,www_ipcc_ch_Chapter_4_Global_Warming_of_1_5_C.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya during 2018-2022.",There is no explicit link between UNEP and any climate policy or strategy in Kenya during 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,About Montreal Protocol,https://www.unep.org/ozonaction/who-we-are/about-montreal-protocol,The Montreal Protocol on Substances that Deplete the Ozone Layer is the landmark multilateral environmental agreement that regulates the production and ...,https://www.unep.org › ozonaction › who-we-are › abo...,www_unep_org_About_Montreal_Protocol.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya during 2018-2022.",The document does not explicitly link UNEP to strengthening/enabling/adoption/implementation of any climate-related policy/strategy/legal framework in Kenya during 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Green Development Guidance for BRI Projects Baseline ...,http://en.brigc.net/Reports/Report_Download/2020/202012/P020210202120471013629.pdf,"Through in-depth analysis of environmental policies, safeguard measures and practices of govern- ments, financial institutions and NGOs around the world, this ...",http://en.brigc.net › Reports › Report_Download,en_brigc_net_Green_Development_Guidance_for_BRI_Projects_Baseli.txt,False,False,0,0,none,none,none,"The document does not contain explicit evidence related to Kenya's climate mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework during 2018-2022.",There is no explicit link between UNEP and strengthening/enabling/adoption/implementation of any climate policy/strategy/legal framework in Kenya during 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Sustainable Development Goal 6 Synthesis Report on ...,https://www.unwater.org/sites/default/files/app/uploads/2018/12/SDG6_SynthesisReport2018_WaterandSanitation_04122018.pdf,"What this report makes clear is that we must tackle weak funding, planning, capacity and governance of water and sanitation services as a top priority. New ...",https://www.unwater.org › uploads › 2018/12,www_unwater_org_Sustainable_Development_Goal_6_Synthesis_Report_on.txt,False,False,0,0,none,none,unclear,,,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,compendium of data protection and privacy policies,https://unstats.un.org/legal-identity-agenda/documents/Paper/data_protecton_%20and_privacy.pdf,INTRODUCTION. 1.1 Purpose and Scope. The purpose of this Compendium is to 'map' UN policy in the area of data protection and privacy (as well.,https://unstats.un.org › documents › Paper,unstats_un_org_compendium_of_data_protection_and_privacy_policies.txt,False,False,0,0,none,none,none,"The document does not contain explicit evidence related to climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya during 2018-2022.","There is no explicit link between UNEP and any climate change mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Nature-based Solutions in Nationally Determined ...,https://portals.iucn.org/library/sites/library/files/documents/2019-030-En.pdf,"5.2. Parties are encouraged to take action to implement and support, including through results-based payments, the existing framework as set out in related ...",https://portals.iucn.org › library › files › documents,portals_iucn_org_Nature_based_Solutions_in_Nationally_Determined_.txt,False,False,0,0,none,none,none,"The document does not contain explicit evidence related to Kenya's climate mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework for the time window 2018-2022.",There is no explicit link between UNEP and any climate policy or strategy in Kenya for the specified time period.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,2020global status report - for buildings and construction,https://globalabc.org/sites/default/files/inline-files/2020%20Buildings%20GSR_FULL%20REPORT.pdf,"strategies and supporting regulation to spur uptake of net-zero emissions buildings. It also means prioritizing performance-based, mandatory building energy ...",https://globalabc.org › default › files › inline-files,globalabc_org_2020global_status_report_for_buildings_and_constru.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to Kenya's climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for the period 2018-2022.",There is no explicit link between UNEP and any climate policy or legal framework in Kenya for the period 2018-2022.,[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Introduction to Sustainable ERM,https://www.casact.org/sites/default/files/2021-02/01_serm_wg_paper_final-9-14-18.pdf,"The more developed a regulatory or legal framework for an ESG factor, the greater the influence the factor has on company operations. The laws require various ...",https://www.casact.org › sites › default › files › 0...,www_casact_org_Introduction_to_Sustainable_ERM.txt,False,False,0,0,none,none,none,"The document does not contain explicit evidence related to climate mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for Kenya during 2018-2022.","There is no explicit link between UNEP and any climate change mitigation, adaptation, or disaster risk reduction strategy/policy/legal framework in Kenya during 2018-2022.",[]
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,Urban Planning Law for Climate Smart Cities,https://unhabitat.org/sites/default/files/2022/10/final_urban_planning_law_for_climate_smart_cities.pdf,Putting Rio Principle 10 into Action: An Implementation Guide . UNEP (2013) ... countries establish legal frameworks necessary for effective domestic ...,https://unhabitat.org › default › files › 2022/10 › f...,unhabitat_org_Urban_Planning_Law_for_Climate_Smart_Cities.txt,True,False,81,0,urban planning law,developed,national,"The document discusses urban planning law for climate smart cities, which is relevant to climate change mitigation and adaptation. It provides a comprehensive framework for urban planning and climate change, including governance, urban planning, and design for adaptation and mitigation.",There is no explicit mention of UNEP's role in supporting the development or implementation of the urban planning law in Kenya.,"[""The Law and Climate Change Toolkit is an innovative online tool designed to help countries establish legal frameworks necessary for effective domestic implementation of the Paris Agreement."", ""UN-Habitat aims to strengthen climate action and improve urban environments through efforts on reduced greenhouse gas emissions and improved air quality; improved resource efficiency and protection of ecological assets; and effective adaptation of communities and infrastructure to climate change.""]"
Kenya,2018–2022,1,UNEP initiative Kenya net zero strategy implemented policy strategy legal framework law regulation action plan after:2018-01-01 before:2022-01-01,2020global status report - for buildings and construction,https://globalabc.org/sites/default/files/inline-files/2020%20Buildings%20GSR_FULL%20REPORT.pdf,"strategies and supporting regulation to spur uptake of net-zero emissions buildings. It also means prioritizing performance-based, mandatory building energy ...",https://globalabc.org › default › files › inline-files,globalabc_org_2020global_status_report_for_buildings_and_constru.txt,False,False,0,0,none,none,global,"The document does not contain explicit evidence related to Kenya's climate change mitigation, adaptation, or disaster risk reduction strategies/policies/legal frameworks for the period 2018-2022.",There is no explicit link between UNEP and climate policy/strategy/legal framework development in Kenya for the period 2018-2022.,[]
