Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,Ci_t_UNEP,extent_of_unep_attributed_capacity_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_capacity_strengthening,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_capacity_justification,best_evidence_unep_justification,best_evidence_phrases
India,2018-2022,2018,2022,2020,47,7,49.14,moderate evidence,64,344,TRUE,Strengthening data monitoring and reporting to showcase ...,https://www.switch-asia.eu/news/strengthening-data-monitoring-and-reporting-to-showcase-indias-progress-in-achieving-sustainable-consumption-and-production/,UNEP project India environmental data after:2018-01-01 before:2022-01-01,www_switch-asia_eu_Strengthening_data_monitoring_and_reporting_to_sho.txt,"The document provides strong evidence of system development and institutional strengthening for environmental data systems and reporting in India during 2018-2022. It mentions the development of a draft study report on 'SDG 12 - An analysis of the SDG 12 National Indicator Framework and Recommendations for its Monitoring and Reporting' by TERI, in partnership with UNEP and the EU-funded SWITCH-Asia Programme. The report recommends strengthening data monitoring and reporting, including reporting on six categories of natural resources and periodic reporting of consumer and consumption data.","The document explicitly links UNEP to strengthening or enabling the capacity in India during 2018-2022. It mentions that UNEP, in partnership with the EU-funded SWITCH-Asia Programme and TERI, supported the development of the draft study report on SDG 12 monitoring and reporting. UNEP is also mentioned as the global custodian for 10 of the 13 indicators of SDG 12 and is credited for its role in advancing SDG 12 reporting in India.","[""The draft report was presented at the ‘National Consultative Roundtable Dialogue on Reporting and Monitoring of SDG 12 – Responsible Consumption and Production’, organised under the EU funded SWITCH-Asia Programme, in partnership with the United Nations Environment Programme (UNEP) and The Energy and Resources Institute (TERI)."", ""UNEP as the global custodian for 10 of the 13 indicators of SDG 12 is proud of the success achieved by MoEFCC, India on the advancement of SDG 12 reporting."", ""TERI carried out this study in cooperation with UNEP and with support of EU funded SWITCH-Asia RPAC to help develop an informed approach for SDG 12 monitoring and reporting in India.""]"
India,2022-2026,2022,2026,2024,38,3,50.67,moderate evidence,64,152,TRUE,UNEP'S IMPACT ON INDIA'S ENVIRONMENTAL ...,https://juslextra.in/f/uneps-impact-on-indias-environmental-protection-efforts?blogcategory=Environmental+Law,UNEP provided technical assistance India scientific assessment after:2022-01-01 before:2026-01-01,juslextra_in_UNEP_S_IMPACT_ON_INDIA_S_ENVIRONMENTAL_.txt,"The document provides clear evidence of India's institutional and technical capacity development in environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems, environmental information platforms, and national environmental reporting frameworks, with a focus on the period 2022-2026.","The document explicitly links UNEP to strengthening or enabling India's capacity in environmental protection efforts, including specific initiatives and programs implemented in collaboration with UNEP.","[""UNEP’s technical support and normative frameworks have been instrumental in shaping policy, implementing international commitments, and piloting innovative solutions."", ""UNEP administers the Multilateral Fund under the Montreal Protocol, assisting developing countries to phase out ozone-depleting substances (ODS)."", ""UNEP provides technology roadmaps, GHG inventories, and guidance on Nationally Determined Contributions (NDCs)."", ""UNEP’s Division of Environmental Law and Conventions develops legislative frameworks, supports environmental courts, and trains judges and regulators."", ""UNEP’s Global Environmental Data Explorer and early warning systems could be integrated with India’s National Remote Sensing Centre and INSAT satellites.""]"
Indonesia,2014-2018,2014,2018,2016,10,2,42,moderate evidence,48,84,TRUE,Indonesia launches new budget-tracking system to better ...,https://www.climatepolicyinitiative.org/press-release/indonesia-launches-new-budget-tracking-system-better-target-climate-finance/,in collaboration with UNEP Indonesia environmental monitoring after:2014-01-01 before:2018-01-01,www_climatepolicyinitiative_org_Indonesia_launches_new_budget_tracking_system_to_b.txt,"The document provides evidence of Indonesia's institutional/technical capacity to develop environmental data systems, specifically a climate finance tracking and reporting system, which is an environmental data system. The system was launched by the Indonesian finance ministry with support from UNDP, UNEP, and CPI. Seven ministries are legally required to implement the budget-tracking system for climate mitigation activities by 2015.","The document explicitly links UNEP to strengthening or enabling Indonesia's capacity in environmental data systems. UNEP, along with UNDP and CPI, supported the development of the climate finance tracking and reporting system. The system is based on recommendations from the Low Emission Budget Tagging and Scoring System (LESS) study by UNDP and UNEP.","[""Indonesia launches new budget-tracking system to better target climate finance"", ""with support from the United Nations Development Programme (UNDP), United Nations Environment Programme (UNEP) and Climate Policy Initiative (CPI)"", ""based on recommendations from the Low Emission Budget Tagging and Scoring System (LESS) study by UNDP and UNEP"", ""Seven ministries are legally required to implement the budget-tracking system for climate mitigation activities by 2015""]"
Indonesia,2018-2022,2018,2022,2020,35,1,48,moderate evidence,48,48,TRUE,UNEP supports project to restore peatlands in Indonesia,https://www.unep.org/news-and-stories/story/unep-supports-project-restore-peatlands-indonesia,UNEP project Indonesia environmental monitoring after:2018-01-01 before:2022-01-01,www_unep_org_UNEP_supports_project_to_restore_peatlands_in_Indo.txt,"The document provides moderate evidence of Indonesia's capacity development in environmental data systems and monitoring. The project supported by UNEP and other partners helped in developing a fire risk and vulnerability mapping tool, creating compacted peat dams, and training community-based fire brigades. These efforts indicate institutional strengthening and system development, though the outcomes may be partial or not fully institutionalized.","UNEP's role is explicitly mentioned in providing match funding, technical support, project design, and technical oversight. UNEP's peatland expert, Johan Kieft, is quoted and played a significant role in the project's design and implementation. The document clearly links UNEP to the project's outcomes, including the development of a fire risk system and community-driven peat rehabilitation methods.","[""UNEP supports project to restore peatlands in Indonesia"", ""UNEP provided match funding, technical support, project design and technical oversight"", ""a hydrological assessment, to facilitate community-driven peat rehabilitation methods in Central Kalimantan"", ""The project’s fire risk and vulnerability mapping tool identified Dusun Hilir District"", ""UNEP peatland expert Johan Kieft""]"
Indonesia,2022-2026,2022,2026,2024,70,18,39.19,low evidence,64,705.41,TRUE,Indonesia Sets Path for Climate-Friendly Cooling with ...,https://www.unescap.org/news/indonesia-sets-path-climate-friendly-cooling-national-cooling-action-plan,UNEP capacity building Indonesia scientific assessment after:2022-01-01 before:2026-01-01,www_unescap_org_Indonesia_Sets_Path_for_Climate_Friendly_Cooling_w.txt,"The document provides strong evidence of Indonesia's institutional and technical capacity to develop environmental data systems and policies, specifically through the launch of its first National Cooling Action Plan (I-NCAP). The plan is an inter-ministerial initiative led by the Directorate General of New, Renewable Energy, and Energy Conservation (EBTKE) and includes collaboration from numerous national stakeholders. The I-NCAP focuses on critical areas such as building space cooling, food cold chains, healthcare cold chains, mobile air conditioning, and process cooling. It aims to address increasing cooling demand, enhance energy efficiency in cooling appliances, and promote the use of low-global warming potential (GWP) refrigerants. The plan is aligned with Indonesia's enhanced Nationally Determined Contribution (NDC) and represents a comprehensive policy roadmap to guide Indonesia towards a greener, cooler, and net-zero future.","The document explicitly links UNEP to strengthening or enabling Indonesia's capacity in the development of the National Cooling Action Plan (I-NCAP). UNEP is mentioned as one of the supporters in developing the I-NCAP, along with ESCAP and Sustainable Energy for All. Ruth Zugman do Coutto, Chief of the Mitigation Branch of the Climate Change Division of UNEP, is quoted praising Indonesia's leadership in releasing the plan and encouraging continued collaboration among ministries and stakeholders to pursue its implementation. The document highlights UNEP's role in supporting Indonesia's efforts to address cooling demand and promote climate-friendly cooling solutions.","[""The I-NCAP is an inter-ministerial policy roadmap led by the Directorate General of New, Renewable Energy, and Energy Conservation (EBTKE) and includes collaboration from numerous national stakeholders."", ""Developed with support from the United Nations Economic and Social Commission for Asia and the Pacific (ESCAP) and the United Nations Environment Programme (UNEP) and inputs from Sustainable Energy for All within the framework of the Cool Coalition"", ""Ruth Zugman do Coutto, Chief of the Mitigation Branch of the Climate Change Division of UNEP said, 'The I-NCAP follows comprehensive vision to delivering on cooling, looking at the multiple cooling sectors to ensure thermal comfort in buildings, strengthening resilience to extreme heat, and bringing essential life‐preserving services like vaccines and safe food to all people while driving climate action.'""]"
Kenya,2014-2018,2014,2018,2016,60,3,32,low evidence,48,96,TRUE,UNEP Early Warning System Initiatives,https://www.adaptation-undp.org/sites/default/files/resources/unep_zinta_zommers_nina_raasakka.pdf,UNEP supported Kenya scientific assessment after:2014-01-01 before:2018-01-01,www_adaptation-undp_org_UNEP_Early_Warning_System_Initiatives.txt,"The document provides moderate evidence of Kenya's capacity development in environmental early warning systems during 2014-2018. It mentions UNEP's work with the National Drought Management Authority in Kenya, which indicates some level of institutional strengthening.","The document explicitly links UNEP to strengthening Kenya's capacity in early warning systems. It mentions that UNEP is working in partnership with organizations in Kenya, including the National Drought Management Authority, and that UNEP's Division of Early Warning and Assessment (DEWA) provides timely and scientifically credible environmental analyses and alerts.","[""Working in partnership with organizations in the case study countries including: oNational Drought Management Authority (Kenya)"", ""UNEP's Division of Early Warning and Assessment (DEWA) provides timely scientifically credible, environmental analyses and alerts"", ""CLIM-WARN Project –seeks to identify ways to improve communication of warning to the vulnerable, and ensuring they can act on warnings"", ""UNEP GEF CC ADAPTATION PORTFOLIO –WHAT? •UNEP GEF Climate Change Adaptation Portfolio – over 25 projects in 20 countries funded through LDCF, SCCF and AF""]"
Kenya,2018-2022,2018,2022,2020,40,6,44.67,moderate evidence,64,268,TRUE,Digital billboards bring real-time air pollution data to Nairobi,https://www.unep.org/news-and-stories/press-release/digital-billboards-bring-real-time-air-pollution-data-nairobi,UNEP programme Kenya environmental data platform after:2018-01-01 before:2022-01-01,www_unep_org_Digital_billboards_bring_real_time_air_pollution_d.txt,"The document provides evidence of Kenya's capacity to develop environmental data systems, specifically for air quality monitoring in Nairobi. The initiative includes real-time air pollution data streaming on digital billboards, engagement with the public, and involvement of government officials.","The document explicitly links UNEP to the development and implementation of the air quality monitoring system in Nairobi, Kenya. UNEP is mentioned as a key partner in the initiative, collaborating with other organizations to provide real-time air quality information.","[""The initiative – by the UN Environment Programme (UNEP), in collaboration with IQAir, a Swiss air quality technology company, Safaricom, a telecommunications provider in Kenya, Alpha and Jam Ltd and Metropolitan Star Lite Ltd,  Out Of Home (OOH) media – provides real-time air quality information"", ""“Real time air quality monitoring will help us with the issuance of health advisories as well as for formulation of smart traffic controls that minimize congestion,” said Lawrence Mwangi, Assistant Director of Environment in charge of pollution control at the Nairobi County Government."", ""“Action on air pollution, which is responsible for millions of premature deaths a year, is critical – efforts should focus on high-risk communities, such as people living in informal urban settlements,” said Inger Andersen, Executive Director of UNEP.""]"
Kenya,2022-2026,2022,2026,2024,61,10,47.34,moderate evidence,64,473.41,TRUE,Kenya - UN Environment Programme,https://www.unep.org/kenya,with UNEP support Kenya environmental monitoring after:2022-01-01 before:2026-01-01,www_unep_org_Kenya_UN_Environment_Programme.txt,"The document provides evidence of Kenya's institutional and technical capacity development in environmental data systems, environmental statistics, and monitoring systems. Specifically, Kenya developed a National Chemical Policy, established an inter-ministerial and inter-sectoral coordination committee on Sound Chemical Management, and created a chemical portal with a legal and policy framework. These actions demonstrate strong evidence of system development and institutional strengthening.","The document explicitly links UNEP to the capacity development in Kenya. The project 'Support to chemicals and wastes MEAs and SAICM implementation in Kenya' was funded by UNEP (budget of 250,000 USD) and implemented in partnership with the Ministry of Environment and Natural Resources. UNEP's support facilitated the development of key frameworks and systems, such as the Framework of Cooperation, data sharing modalities, and the Pollutant Release and Transfers Register (PRTR).","[""Kenya developed a National Chemical Policy"", ""established and launched with the mandate to guide on the issues of chemicals and waste"", ""Kenya has also established a chemical portal with the necessary legal and policy framework"", ""the project also facilitated development of a Framework of Cooperation"", ""Project title: Support to chemicals and wastes MEAs and SAICM implementation in Kenya"", ""Partnerships and counterparts: Ministry of Environment and Natural Resources""]"
Lebanon,2014-2018,2014,2018,2016,52,0,0,no evidence,0,0,FALSE,Lebanon's National Strategy for Air Quality Management ...,http://www.studies.gov.lb/getattachment/Sectors/Environment/2017/ENV-17-12/Env-17-12.pdf,with UNEP support Lebanon scientific assessment after:2014-01-01 before:2018-01-01,www_studies_gov_lb_Lebanon_s_National_Strategy_for_Air_Quality_Manage.txt,"The document contains explicit evidence related to environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems/early warning systems, environmental information platforms, and national environmental reporting frameworks in Lebanon during 2014-2018. For example, it mentions the development of a National Strategy for Air Quality Management in Lebanon, which includes goals such as strengthening the legal and institutional framework, improving air quality assessment, and solving air quality problems. However, the document does not provide explicit evidence of institutionalized/operational national systems.","There is no explicit link between UNEP and strengthening or enabling the capacity in Lebanon during 2014-2018. The document mentions that the Ministry of Environment (MoE) has initiated the development of the National Strategy for Air Quality Management in Lebanon in 2015 with the support of the European Union (EU) funded programme Support to Reforms on Environmental Governance (StREG), in collaboration with the United Nations Development Programme (UNDP) project of the Environmental Resources Monitoring in Lebanon (ERML). However, UNEP is not mentioned as a supporting entity.","[""The Strategy has dedicated an important section to document available data on air quality in Lebanon."", ""The Air Quality Monitoring Network (AQMN) which has been installed and activated by MoE over two phases."", ""The Strategy covers Lebanon’s situation regarding air quality monitoring, taking into account the existing Air Quality Monitoring Network (AQMN) which has been installed and activated by MoE."", ""In 2013, MoE launched Phase 1 of the national AQMN with real time air quality monitoring through five stations in Lebanon, with the support of the United Nations Environment Programme (UNEP) and UNDP.""]"
Lebanon,2018-2022,2018,2022,2020,60,1,24,low evidence,24,24,TRUE,UNDP and UNEP partner to further support Lebanon's ...,https://www.undp.org/lebanon/press-releases/undp-and-unep-partner-further-support-lebanons-environmental-agenda,UNEP provided technical assistance Lebanon state of environment report after:2018-01-01 before:2022-01-01,www_undp_org_UNDP_and_UNEP_partner_to_further_support_Lebanon_s.txt,"The document mentions partnership between UNDP and UNEP to support Lebanon's environmental agenda, including natural resource management, climate change, biodiversity conservation, waste management, and abatement of pollution. However, it does not provide explicit evidence of institutionalized/operational national systems.","The document explicitly mentions UNEP's partnership with UNDP to support Lebanon's environmental agenda, which includes strengthening the identification of national priorities on environment and climate issues, enhancing coordination on environmental programmes, promoting joint resource mobilization, and enhancing knowledge sharing and joint advocacy.","[""UNDP and UNEP partner to further support Lebanon's environmental agenda"", ""strengthening the identification of national priority on environment and climate issues"", ""enhancing coordination on environmental programmes"", ""promoting joint resource mobilization"", ""enhancing knowledge sharing and joint advocacy for people and planet""]"
Lebanon,2022-2026,2022,2026,2024,37,5,33.6,low evidence,48,168,TRUE,GEF UNEP/MAP MedProgramme: Advancing a Source-to- ...,https://iwlearn.net/news/gef-unepmap-medprogramme-advancing-a-source-to-sea-vision-for-the-damour-area,with UNEP support Lebanon environmental data after:2022-01-01 before:2026-01-01,iwlearn_net_GEF_UNEP_MAP_MedProgramme_Advancing_a_Source_to_.txt,"The document mentions the development of an Integrated Management Plan (IMP) for the Damour area in Lebanon, which includes strengthening and expanding Integrated Zone Management of the Lebanese coast, improving water security, human and ecosystem health, and climate resilience. This indicates moderate to strong evidence of system development and institutional strengthening, but it may be partial or not fully institutionalized.","The document explicitly links UNEP to the MedProgramme, which is a GEF-funded initiative implemented in Lebanon from 2020-2026. UNEP/MAP is the leading executing Agency, and the MedProgramme Coordination Unit is responsible for the programme. This indicates a clear UNEP-supported system development or institutional strengthening.","[""The development of an Integrated Management Plan for the Damour area, led by GWP-Med, promotes sustainable water management for the Damour River Basin"", ""UNEP/Mediterranean Action Plan (MAP) is the leading executing Agency; the GEF Implementing Agencies are UNEP and the European Bank for Reconstruction and Development (EBRD)"", ""The MedProgramme operationalises priority actions to reduce principal transboundary environmental stresses in coastal areas while strengthening climate resilience and water security and improving the health and livelihoods of coastal populations""]"
